city,type,bed,bath,garage,sqft,pool,spa,price
Long Beach,,0,1,,513,,NA,119000
Long Beach,,0,1,,550,,NA,153000
Long Beach,,0,1,,550,,NA,205000
Long Beach,,0,1,1,1030,,NA,3.00E+05
Long Beach,,0,1,1,1526,,NA,375000
Long Beach,,1,1,,552,,NA,159900
Long Beach,,1,1,,558,,NA,135000
Long Beach,,1,1,,596,,NA,105000
Long Beach,,1,1,,744,,NA,167000
Long Beach,,1,1,,750,,NA,134900
Long Beach,,1,1,,750,,NA,145000
Long Beach,,1,1,,791,,NA,219900
Long Beach,,1,1,,798,,NA,195000
Long Beach,,1,1,1,671,,NA,120000
Long Beach,,1,1,1,796,,NA,179900
Long Beach,,1,1,1,935,,NA,239000
Long Beach,,1,1,1,1006,,NA,360000
Long Beach,,1,1,1,1431,,NA,5.00E+05
Long Beach,,1,1,2,926,,NA,339000
Long Beach,,1,1,2,1209,,NA,580000
Long Beach,,1,1,2,1620,,NA,419900
Long Beach,,1,1,2,1924,,NA,394900
Long Beach,,1,1,2,1970,,NA,619000
Long Beach,,1,2,1,1310,,NA,359900
Long Beach,,1,2,1,1450,,NA,325000
Long Beach,,1,2,1,1450,,NA,329900
Long Beach,,1,2,2,1077,,NA,325000
Long Beach,,2,1,,1133,,NA,325000
Long Beach,,2,1,,2374,,NA,799000
Long Beach,,2,1,2,1620,,NA,418000
Long Beach,,2,1,2,2019,,NA,420000
Long Beach,,2,2,1,868,,NA,240000
Long Beach,,2,2,1,1050,,NA,318800
Long Beach,,2,2,1,1241,,NA,299500
Long Beach,,4,4,,3636,,NA,349900
Long Beach,,6,3,,2554,,NA,379900
Long Beach,Condo/Twh,0,1,,462,,NA,138900
Long Beach,Condo/Twh,0,1,,475,,NA,120000
Long Beach,Condo/Twh,0,1,,527,,NA,179000
Long Beach,Condo/Twh,0,1,,702,,NA,236900
Long Beach,Condo/Twh,0,1,2,650,,NA,217900
Long Beach,Condo/Twh,1,1,,403,,NA,139950
Long Beach,Condo/Twh,1,1,,426,,NA,135000
Long Beach,Condo/Twh,1,1,,560,,NA,135000
Long Beach,Condo/Twh,1,1,,561,,NA,273500
Long Beach,Condo/Twh,1,1,,590,,NA,215000
Long Beach,Condo/Twh,1,1,,590,,NA,259900
Long Beach,Condo/Twh,1,1,,597,,NA,130000
Long Beach,Condo/Twh,1,1,,599,,NA,350000
Long Beach,Condo/Twh,1,1,,600,,NA,183900
Long Beach,Condo/Twh,1,1,,617,,NA,104990
Long Beach,Condo/Twh,1,1,,628,,NA,119000
Long Beach,Condo/Twh,1,1,,628,,NA,285000
Long Beach,Condo/Twh,1,1,,631,,NA,215000
Long Beach,Condo/Twh,1,1,,633,,NA,175000
Long Beach,Condo/Twh,1,1,,635,,NA,243000
Long Beach,Condo/Twh,1,1,,664,,NA,109000
Long Beach,Condo/Twh,1,1,,667,,NA,199900
Long Beach,Condo/Twh,1,1,,667,,NA,350000
Long Beach,Condo/Twh,1,1,,670,,NA,155900
Long Beach,Condo/Twh,1,1,,680,,NA,239000
Long Beach,Condo/Twh,1,1,,693,,NA,220000
Long Beach,Condo/Twh,1,1,,693,,NA,229900
Long Beach,Condo/Twh,1,1,,693,,NA,245000
Long Beach,Condo/Twh,1,1,,700,,NA,125000
Long Beach,Condo/Twh,1,1,,707,,NA,185000
Long Beach,Condo/Twh,1,1,,710,,NA,195000
Long Beach,Condo/Twh,1,1,,739,,NA,179000
Long Beach,Condo/Twh,1,1,,741,,NA,165000
Long Beach,Condo/Twh,1,1,,745,,NA,199900
Long Beach,Condo/Twh,1,1,,745,,NA,2.00E+05
Long Beach,Condo/Twh,1,1,,751,,NA,221000
Long Beach,Condo/Twh,1,1,,752,,NA,225900
Long Beach,Condo/Twh,1,1,,772,,NA,169000
Long Beach,Condo/Twh,1,1,,779,,NA,124900
Long Beach,Condo/Twh,1,1,,787,,NA,167000
Long Beach,Condo/Twh,1,1,,792,,NA,109000
Long Beach,Condo/Twh,1,1,,811,,NA,145000
Long Beach,Condo/Twh,1,1,,839,,NA,335000
Long Beach,Condo/Twh,1,1,,864,,NA,249000
Long Beach,Condo/Twh,1,1,,981,,NA,216000
Long Beach,Condo/Twh,1,1,,1069,,NA,330000
Long Beach,Condo/Twh,1,1,1,530,,NA,175000
Long Beach,Condo/Twh,1,1,1,540,,NA,165000
Long Beach,Condo/Twh,1,1,1,590,,NA,236900
Long Beach,Condo/Twh,1,1,1,592,,NA,175000
Long Beach,Condo/Twh,1,1,1,597,,NA,130000
Long Beach,Condo/Twh,1,1,1,597,,NA,140000
Long Beach,Condo/Twh,1,1,1,597,,NA,149900
Long Beach,Condo/Twh,1,1,1,597,,NA,150000
Long Beach,Condo/Twh,1,1,1,600,,NA,244900
Long Beach,Condo/Twh,1,1,1,600,,NA,279900
Long Beach,Condo/Twh,1,1,1,600,,NA,285000
Long Beach,Condo/Twh,1,1,1,600,,NA,325000
Long Beach,Condo/Twh,1,1,1,607,,NA,150000
Long Beach,Condo/Twh,1,1,1,613,,NA,119000
Long Beach,Condo/Twh,1,1,1,632,,NA,129000
Long Beach,Condo/Twh,1,1,1,660,,NA,110000
Long Beach,Condo/Twh,1,1,1,660,,NA,112900
Long Beach,Condo/Twh,1,1,1,661,,NA,150000
Long Beach,Condo/Twh,1,1,1,672,,NA,379995
Long Beach,Condo/Twh,1,1,1,680,,NA,204900
Long Beach,Condo/Twh,1,1,1,680,,NA,235000
Long Beach,Condo/Twh,1,1,1,680,,NA,239000
Long Beach,Condo/Twh,1,1,1,680,,NA,249000
Long Beach,Condo/Twh,1,1,1,680,,NA,249900
Long Beach,Condo/Twh,1,1,1,680,,NA,250000
Long Beach,Condo/Twh,1,1,1,681,,NA,320000
Long Beach,Condo/Twh,1,1,1,683,,NA,119000
Long Beach,Condo/Twh,1,1,1,686,,NA,119500
Long Beach,Condo/Twh,1,1,1,686,,NA,189000
Long Beach,Condo/Twh,1,1,1,687,,NA,125000
Long Beach,Condo/Twh,1,1,1,693,,NA,230000
Long Beach,Condo/Twh,1,1,1,693,,NA,245000
Long Beach,Condo/Twh,1,1,1,698,,NA,175000
Long Beach,Condo/Twh,1,1,1,703,,NA,374000
Long Beach,Condo/Twh,1,1,1,707,,NA,130000
Long Beach,Condo/Twh,1,1,1,719,,NA,359000
Long Beach,Condo/Twh,1,1,1,732,,NA,248900
Long Beach,Condo/Twh,1,1,1,739,,NA,249500
Long Beach,Condo/Twh,1,1,1,741,,NA,319990
Long Beach,Condo/Twh,1,1,1,754,,NA,1.00E+05
Long Beach,Condo/Twh,1,1,1,789,,NA,309000
Long Beach,Condo/Twh,1,1,1,792,,NA,428900
Long Beach,Condo/Twh,1,1,1,816,,NA,224900
Long Beach,Condo/Twh,1,1,1,825,,NA,230000
Long Beach,Condo/Twh,1,1,1,832,,NA,125000
Long Beach,Condo/Twh,1,1,1,833,,NA,189000
Long Beach,Condo/Twh,1,1,1,846,,NA,325000
Long Beach,Condo/Twh,1,1,1,873,,NA,224000
Long Beach,Condo/Twh,1,1,1,875,,NA,229000
Long Beach,Condo/Twh,1,1,1,890,,NA,150000
Long Beach,Condo/Twh,1,1,1,938,,NA,249900
Long Beach,Condo/Twh,1,1,1,1000,,NA,345000
Long Beach,Condo/Twh,1,1,1,1020,,NA,279900
Long Beach,Condo/Twh,1,1,1,1400,,NA,299000
Long Beach,Condo/Twh,1,1,2,624,,NA,109000
Long Beach,Condo/Twh,1,1,2,693,Y,NA,240000
Long Beach,Condo/Twh,1,1,2,736,,NA,458000
Long Beach,Condo/Twh,1,1,2,750,,NA,480000
Long Beach,Condo/Twh,1,1,2,793,,NA,119900
Long Beach,Condo/Twh,1,1,2,926,,NA,269000
Long Beach,Condo/Twh,1,1,2,926,,NA,270000
Long Beach,Condo/Twh,1,1,2,926,,NA,324000
Long Beach,Condo/Twh,1,1.5,,1620,,NA,399900
Long Beach,Condo/Twh,1,2,,880,,NA,279000
Long Beach,Condo/Twh,1,2,,950,,NA,240000
Long Beach,Condo/Twh,1,2,,952,,NA,250000
Long Beach,Condo/Twh,1,2,,1017,,NA,279000
Long Beach,Condo/Twh,1,2,,1047,,NA,309900
Long Beach,Condo/Twh,1,2,1,584,,NA,110000
Long Beach,Condo/Twh,1,2,1,731,,NA,222000
Long Beach,Condo/Twh,1,2,1,791,,NA,275000
Long Beach,Condo/Twh,1,2,1,853,,NA,139000
Long Beach,Condo/Twh,1,2,1,880,,NA,299900
Long Beach,Condo/Twh,1,2,2,880,,NA,309000
Long Beach,Condo/Twh,1,2,2,1044,,NA,184900
Long Beach,Condo/Twh,1,3,,1570,,NA,325000
Long Beach,Condo/Twh,2,1,,760,,NA,199900
Long Beach,Condo/Twh,2,1,,769,,NA,199000
Long Beach,Condo/Twh,2,1,,779,,NA,250000
Long Beach,Condo/Twh,2,1,,849,,NA,185000
Long Beach,Condo/Twh,2,1,,860,,NA,159000
Long Beach,Condo/Twh,2,1,1,779,,NA,109000
Long Beach,Condo/Twh,2,1,1,800,,NA,119000
Long Beach,Condo/Twh,2,1,1,806,,NA,179000
Long Beach,Condo/Twh,2,1,1,830,,NA,174900
Long Beach,Condo/Twh,2,1,1,840,,NA,350000
Long Beach,Condo/Twh,2,1,1,879,,NA,205000
Long Beach,Condo/Twh,2,1,1,892,,NA,150000
Long Beach,Condo/Twh,2,1,1,906,,NA,195000
Long Beach,Condo/Twh,2,1,1,910,,NA,297000
Long Beach,Condo/Twh,2,1,1,941,,NA,285000
Long Beach,Condo/Twh,2,1,2,859,,NA,199000
Long Beach,Condo/Twh,2,1,2,860,,NA,225000
Long Beach,Condo/Twh,2,1,2,957,,NA,348000
Long Beach,Condo/Twh,2,1,2,1291,,NA,399000
Long Beach,Condo/Twh,2,2,,680,,NA,106000
Long Beach,Condo/Twh,2,2,,680,,NA,129900
Long Beach,Condo/Twh,2,2,,690,,NA,120000
Long Beach,Condo/Twh,2,2,,720,,NA,137900
Long Beach,Condo/Twh,2,2,,777,,NA,134900
Long Beach,Condo/Twh,2,2,,780,,NA,149900
Long Beach,Condo/Twh,2,2,,786,,NA,174900
Long Beach,Condo/Twh,2,2,,830,,NA,144900
Long Beach,Condo/Twh,2,2,,838,,NA,225000
Long Beach,Condo/Twh,2,2,,840,,NA,161000
Long Beach,Condo/Twh,2,2,,840,,NA,169000
Long Beach,Condo/Twh,2,2,,850,,NA,139900
Long Beach,Condo/Twh,2,2,,865,,NA,350000
Long Beach,Condo/Twh,2,2,,877,,NA,125000
Long Beach,Condo/Twh,2,2,,892,,NA,179000
Long Beach,Condo/Twh,2,2,,903,,NA,169900
Long Beach,Condo/Twh,2,2,,920,,NA,129000
Long Beach,Condo/Twh,2,2,,920,,NA,135000
Long Beach,Condo/Twh,2,2,,940,,NA,159000
Long Beach,Condo/Twh,2,2,,960,,NA,129000
Long Beach,Condo/Twh,2,2,,990,,NA,169000
Long Beach,Condo/Twh,2,2,,1020,,NA,160000
Long Beach,Condo/Twh,2,2,,1047,,NA,334900
Long Beach,Condo/Twh,2,2,,1080,,NA,329000
Long Beach,Condo/Twh,2,2,,1080,,NA,729000
Long Beach,Condo/Twh,2,2,,1146,,NA,175000
Long Beach,Condo/Twh,2,2,,1171,,NA,249900
Long Beach,Condo/Twh,2,2,,1184,,NA,279900
Long Beach,Condo/Twh,2,2,,1198,,NA,223100
Long Beach,Condo/Twh,2,2,,1251,,NA,231900
Long Beach,Condo/Twh,2,2,,1253,,NA,315000
Long Beach,Condo/Twh,2,2,,1264,,NA,1150000
Long Beach,Condo/Twh,2,2,,1340,,NA,5.00E+05
Long Beach,Condo/Twh,2,2,,1590,,NA,699000
Long Beach,Condo/Twh,2,2,1,750,,NA,219900
Long Beach,Condo/Twh,2,2,1,751,,NA,145000
Long Beach,Condo/Twh,2,2,1,751,,NA,147900
Long Beach,Condo/Twh,2,2,1,782,,NA,130000
Long Beach,Condo/Twh,2,2,1,794,,NA,275000
Long Beach,Condo/Twh,2,2,1,800,,NA,175000
Long Beach,Condo/Twh,2,2,1,827,,NA,119900
Long Beach,Condo/Twh,2,2,1,830,,NA,239000
Long Beach,Condo/Twh,2,2,1,842,,NA,120000
Long Beach,Condo/Twh,2,2,1,856,,NA,210000
Long Beach,Condo/Twh,2,2,1,880,,NA,139000
Long Beach,Condo/Twh,2,2,1,898,,NA,154900
Long Beach,Condo/Twh,2,2,1,909,,NA,109000
Long Beach,Condo/Twh,2,2,1,909,,NA,289000
Long Beach,Condo/Twh,2,2,1,913,,NA,220000
Long Beach,Condo/Twh,2,2,1,920,,NA,219182
Long Beach,Condo/Twh,2,2,1,923,,NA,194900
Long Beach,Condo/Twh,2,2,1,937,,NA,169000
Long Beach,Condo/Twh,2,2,1,942,,NA,110000
Long Beach,Condo/Twh,2,2,1,954,,NA,250000
Long Beach,Condo/Twh,2,2,1,954,,NA,349000
Long Beach,Condo/Twh,2,2,1,956,,NA,182000
Long Beach,Condo/Twh,2,2,1,960,,NA,399900
Long Beach,Condo/Twh,2,2,1,961,,NA,379990
Long Beach,Condo/Twh,2,2,1,982,,NA,175000
Long Beach,Condo/Twh,2,2,1,990,,NA,359000
Long Beach,Condo/Twh,2,2,1,1010,,NA,159900
Long Beach,Condo/Twh,2,2,1,1014,,NA,155000
Long Beach,Condo/Twh,2,2,1,1016,,NA,185000
Long Beach,Condo/Twh,2,2,1,1018,,NA,395000
Long Beach,Condo/Twh,2,2,1,1035,,NA,529900
Long Beach,Condo/Twh,2,2,1,1040,,NA,599000
Long Beach,Condo/Twh,2,2,1,1045,,NA,260000
Long Beach,Condo/Twh,2,2,1,1060,,NA,549000
Long Beach,Condo/Twh,2,2,1,1074,,NA,280000
Long Beach,Condo/Twh,2,2,1,1076,,NA,309000
Long Beach,Condo/Twh,2,2,1,1080,,NA,279000
Long Beach,Condo/Twh,2,2,1,1080,,NA,648800
Long Beach,Condo/Twh,2,2,1,1081,,NA,290000
Long Beach,Condo/Twh,2,2,1,1116,,NA,580000
Long Beach,Condo/Twh,2,2,1,1156,,NA,299000
Long Beach,Condo/Twh,2,2,1,1158,,NA,435000
Long Beach,Condo/Twh,2,2,1,1178,,NA,309900
Long Beach,Condo/Twh,2,2,1,1192,,NA,225000
Long Beach,Condo/Twh,2,2,1,1274,,NA,449000
Long Beach,Condo/Twh,2,2,1,1300,,NA,895000
Long Beach,Condo/Twh,2,2,1,1325,,NA,389700
Long Beach,Condo/Twh,2,2,1,1360,,NA,379000
Long Beach,Condo/Twh,2,2,1,1410,,NA,385000
Long Beach,Condo/Twh,2,2,1,1413,,NA,769000
Long Beach,Condo/Twh,2,2,1,1510,,NA,469000
Long Beach,Condo/Twh,2,2,1,1510,,NA,555000
Long Beach,Condo/Twh,2,2,1,1510,,NA,559000
Long Beach,Condo/Twh,2,2,2,680,,NA,120000
Long Beach,Condo/Twh,2,2,2,680,,NA,124900
Long Beach,Condo/Twh,2,2,2,680,,NA,125000
Long Beach,Condo/Twh,2,2,2,784,,NA,199000
Long Beach,Condo/Twh,2,2,2,820,,NA,1.00E+05
Long Beach,Condo/Twh,2,2,2,820,,NA,165000
Long Beach,Condo/Twh,2,2,2,827,,NA,129900
Long Beach,Condo/Twh,2,2,2,834,,NA,199000
Long Beach,Condo/Twh,2,2,2,840,,NA,160000
Long Beach,Condo/Twh,2,2,2,840,,NA,170000
Long Beach,Condo/Twh,2,2,2,860,,NA,139900
Long Beach,Condo/Twh,2,2,2,860,,NA,209900
Long Beach,Condo/Twh,2,2,2,869,,NA,2.00E+05
Long Beach,Condo/Twh,2,2,2,880,,NA,275000
Long Beach,Condo/Twh,2,2,2,888,,NA,235128
Long Beach,Condo/Twh,2,2,2,892,,NA,180000
Long Beach,Condo/Twh,2,2,2,898,,NA,160000
Long Beach,Condo/Twh,2,2,2,902,,NA,175000
Long Beach,Condo/Twh,2,2,2,904,,NA,185000
Long Beach,Condo/Twh,2,2,2,906,,NA,189000
Long Beach,Condo/Twh,2,2,2,910,,NA,137900
Long Beach,Condo/Twh,2,2,2,913,,NA,159000
Long Beach,Condo/Twh,2,2,2,913,,NA,2.00E+05
Long Beach,Condo/Twh,2,2,2,920,,NA,185000
Long Beach,Condo/Twh,2,2,2,920,,NA,255000
Long Beach,Condo/Twh,2,2,2,930,,NA,156800
Long Beach,Condo/Twh,2,2,2,930,,NA,169000
Long Beach,Condo/Twh,2,2,2,930,,NA,225000
Long Beach,Condo/Twh,2,2,2,930,,NA,225000
Long Beach,Condo/Twh,2,2,2,954,,NA,260000
Long Beach,Condo/Twh,2,2,2,957,,NA,195000
Long Beach,Condo/Twh,2,2,2,957,,NA,280000
Long Beach,Condo/Twh,2,2,2,960,,NA,169900
Long Beach,Condo/Twh,2,2,2,960,,NA,265000
Long Beach,Condo/Twh,2,2,2,961,,NA,189900
Long Beach,Condo/Twh,2,2,2,978,,NA,180000
Long Beach,Condo/Twh,2,2,2,985,,NA,255000
Long Beach,Condo/Twh,2,2,2,990,,NA,159000
Long Beach,Condo/Twh,2,2,2,1000,,NA,230000
Long Beach,Condo/Twh,2,2,2,1000,,NA,425000
Long Beach,Condo/Twh,2,2,2,1014,,NA,155000
Long Beach,Condo/Twh,2,2,2,1014,,NA,169000
Long Beach,Condo/Twh,2,2,2,1015,,NA,185000
Long Beach,Condo/Twh,2,2,2,1020,,NA,449000
Long Beach,Condo/Twh,2,2,2,1020,,NA,629900
Long Beach,Condo/Twh,2,2,2,1022,,NA,289000
Long Beach,Condo/Twh,2,2,2,1023,,NA,188000
Long Beach,Condo/Twh,2,2,2,1028,,NA,311900
Long Beach,Condo/Twh,2,2,2,1028,,NA,314900
Long Beach,Condo/Twh,2,2,2,1028,,NA,330000
Long Beach,Condo/Twh,2,2,2,1029,,NA,359000
Long Beach,Condo/Twh,2,2,2,1040,,NA,343000
Long Beach,Condo/Twh,2,2,2,1048,,NA,179800
Long Beach,Condo/Twh,2,2,2,1049,,NA,175000
Long Beach,Condo/Twh,2,2,2,1050,,NA,225000
Long Beach,Condo/Twh,2,2,2,1052,,NA,345000
Long Beach,Condo/Twh,2,2,2,1053,,NA,225000
Long Beach,Condo/Twh,2,2,2,1065,,NA,230000
Long Beach,Condo/Twh,2,2,2,1070,,NA,290000
Long Beach,Condo/Twh,2,2,2,1070,,NA,360000
Long Beach,Condo/Twh,2,2,2,1070,,NA,435000
Long Beach,Condo/Twh,2,2,2,1070,,NA,479900
Long Beach,Condo/Twh,2,2,2,1079,,NA,249900
Long Beach,Condo/Twh,2,2,2,1080,,NA,356001
Long Beach,Condo/Twh,2,2,2,1098,,NA,325000
Long Beach,Condo/Twh,2,2,2,1100,,NA,235000
Long Beach,Condo/Twh,2,2,2,1121,,NA,325000
Long Beach,Condo/Twh,2,2,2,1146,,NA,340000
Long Beach,Condo/Twh,2,2,2,1151,,NA,299500
Long Beach,Condo/Twh,2,2,2,1155,,NA,219900
Long Beach,Condo/Twh,2,2,2,1160,,NA,349000
Long Beach,Condo/Twh,2,2,2,1200,,NA,385110
Long Beach,Condo/Twh,2,2,2,1206,,NA,379000
Long Beach,Condo/Twh,2,2,2,1217,,NA,390000
Long Beach,Condo/Twh,2,2,2,1227,,NA,369900
Long Beach,Condo/Twh,2,2,2,1231,,NA,310000
Long Beach,Condo/Twh,2,2,2,1251,,NA,639900
Long Beach,Condo/Twh,2,2,2,1286,,NA,159900
Long Beach,Condo/Twh,2,2,2,1313,,NA,527000
Long Beach,Condo/Twh,2,2,2,1333,,NA,250000
Long Beach,Condo/Twh,2,2,2,1340,,NA,621500
Long Beach,Condo/Twh,2,2,2,1400,,NA,375000
Long Beach,Condo/Twh,2,2,2,1400,,NA,457500
Long Beach,Condo/Twh,2,2,2,1400,,NA,519900
Long Beach,Condo/Twh,2,2,2,1443,,NA,988000
Long Beach,Condo/Twh,2,2,2,1509,,NA,439000
Long Beach,Condo/Twh,2,2,2,1540,,NA,895000
Long Beach,Condo/Twh,2,2,2,1542,,NA,699000
Long Beach,Condo/Twh,2,2,2,1542,,NA,735000
Long Beach,Condo/Twh,2,2,2,1619,,NA,369990
Long Beach,Condo/Twh,2,2.5,,1332,,NA,389900
Long Beach,Condo/Twh,2,3,,979,,NA,175000
Long Beach,Condo/Twh,2,3,1,1206,,NA,395000
Long Beach,Condo/Twh,2,3,1,1300,,NA,875000
Long Beach,Condo/Twh,2,3,1,1300,,NA,875000
Long Beach,Condo/Twh,2,3,2,949,,NA,195000
Long Beach,Condo/Twh,2,3,2,1020,,NA,230000
Long Beach,Condo/Twh,2,3,2,1056,,NA,199000
Long Beach,Condo/Twh,2,3,2,1284,,NA,372000
Long Beach,Condo/Twh,2,3,2,1290,,NA,375000
Long Beach,Condo/Twh,2,3,2,1290,,NA,399900
Long Beach,Condo/Twh,2,3,2,1293,,NA,179999
Long Beach,Condo/Twh,2,3,2,1320,,NA,371000
Long Beach,Condo/Twh,2,3,2,1391,,NA,299000
Long Beach,Condo/Twh,2,3,2,1474,,NA,4.00E+05
Long Beach,Condo/Twh,2,3,2,1700,,NA,599000
Long Beach,Condo/Twh,2,3,2,1741,,NA,849000
Long Beach,Condo/Twh,2,3,2,2000,,NA,995000
Long Beach,Condo/Twh,2,3,2,3055,,NA,2100000
Long Beach,Condo/Twh,3,2,,1260,,NA,325000
Long Beach,Condo/Twh,3,2,,1310,,NA,335000
Long Beach,Condo/Twh,3,2,,1638,,NA,459900
Long Beach,Condo/Twh,3,2,,1724,,NA,549000
Long Beach,Condo/Twh,3,2,1,1102,,NA,327000
Long Beach,Condo/Twh,3,2,1,1122,,NA,348000
Long Beach,Condo/Twh,3,2,1,1406,,NA,439000
Long Beach,Condo/Twh,3,2,1,1484,,NA,529000
Long Beach,Condo/Twh,3,2,1,1910,,NA,395000
Long Beach,Condo/Twh,3,2,2,1040,,NA,255000
Long Beach,Condo/Twh,3,2,2,1120,,NA,339000
Long Beach,Condo/Twh,3,2,2,1158,,NA,3.00E+05
Long Beach,Condo/Twh,3,2,2,1260,,NA,419000
