rank,male,female,year
4,James,Melissa,1975
5,David,Angela,1975
6,Robert,Michelle,1975
7,John,Kimberly,1975
8,Brian,Lisa,1975
9,Matthew,Stephanie,1975
10,William,Nicole,1975
11,Daniel,Rebecca,1975
12,Joseph,Christina,1975
13,Eric,Jessica,1975
14,Jeffrey,Amanda,1975
15,Kevin,Elizabeth,1975
16,Richard,Kelly,1975
17,Scott,Sarah,1975
18,Steven,Julie,1975
19,Mark,Mary,1975
20,Thomas,Laura,1975
1,Michael,Jennifer,1976
2,Jason,Amy,1976
3,Christopher,Melissa,1976
4,David,Heather,1976
5,James,Angela,1976
6,John,Michelle,1976
7,Robert,Kimberly,1976
8,Brian,Jessica,1976
9,Matthew,Lisa,1976
10,Daniel,Amanda,1976
11,William,Stephanie,1976
12,Joseph,Rebecca,1976
13,Eric,Nicole,1976
14,Jeremy,Christina,1976
15,Kevin,Sarah,1976
16,Ryan,Elizabeth,1976
17,Jeffrey,Shannon,1976
18,Joshua,Jamie,1976
19,Richard,Kelly,1976
20,Steven,Laura,1976
1,Michael,Jennifer,1977
2,Jason,Melissa,1977
3,Christopher,Amy,1977
4,David,Jessica,1977
5,James,Heather,1977
6,John,Angela,1977
7,Robert,Michelle,1977
8,Brian,Kimberly,1977
9,Matthew,Amanda,1977
10,Joseph,Kelly,1977
11,Daniel,Sarah,1977
12,William,Lisa,1977
13,Kevin,Elizabeth,1977
14,Joshua,Stephanie,1977
15,Jeremy,Nicole,1977
16,Ryan,Christina,1977
17,Eric,Rebecca,1977
18,Timothy,Jamie,1977
19,Jeffrey,Shannon,1977
20,Richard,Laura,1977
1,Michael,Jennifer,1978
2,Jason,Melissa,1978
3,Christopher,Jessica,1978
4,David,Amy,1978
5,James,Heather,1978
6,Matthew,Amanda,1978
7,John,Angela,1978
8,Robert,Sarah,1978
9,Brian,Michelle,1978
10,Joseph,Nicole,1978
11,Daniel,Lisa,1978
12,Joshua,Kelly,1978
13,William,Kimberly,1978
14,Ryan,Elizabeth,1978
15,Kevin,Christina,1978
16,Eric,Stephanie,1978
17,Timothy,Rebecca,1978
18,Jeremy,Crystal,1978
19,Jeffrey,Laura,1978
20,Anthony,Jamie,1978
1,Michael,Jennifer,1979
2,Christopher,Melissa,1979
3,Jason,Amanda,1979
4,David,Jessica,1979
5,James,Amy,1979
6,Matthew,Sarah,1979
7,John,Heather,1979
8,Robert,Angela,1979
9,Joshua,Nicole,1979
10,Brian,Michelle,1979
11,Joseph,Elizabeth,1979
12,Daniel,Kimberly,1979
13,William,Lisa,1979
14,Ryan,Christina,1979
15,Nicholas,Stephanie,1979
16,Jeremy,Kelly,1979
17,Eric,Rebecca,1979
18,Timothy,Crystal,1979
19,Kevin,Jamie,1979
20,Andrew,Laura,1979
1,Michael,Jennifer,1980
2,Christopher,Amanda,1980
3,Jason,Jessica,1980
4,David,Melissa,1980
5,James,Sarah,1980
6,Matthew,Heather,1980
7,Joshua,Nicole,1980
8,John,Amy,1980
9,Robert,Elizabeth,1980
10,Joseph,Michelle,1980
11,Daniel,Kimberly,1980
12,Brian,Angela,1980
13,Justin,Stephanie,1980
14,William,Tiffany,1980
15,Ryan,Christina,1980
16,Eric,Lisa,1980
17,Nicholas,Rebecca,1980
18,Jeremy,Crystal,1980
19,Andrew,Kelly,1980
20,Timothy,Erin,1980
1,Michael,Jennifer,1981
2,Christopher,Jessica,1981
3,Matthew,Amanda,1981
4,Jason,Sarah,1981
5,David,Melissa,1981
6,Joshua,Amy,1981
7,James,Nicole,1981
8,John,Stephanie,1981
9,Robert,Elizabeth,1981
10,Daniel,Heather,1981
11,Joseph,Michelle,1981
12,Justin,Rebecca,1981
13,Ryan,Kimberly,1981
14,Brian,Tiffany,1981
15,William,Angela,1981
16,Jonathan,Crystal,1981
17,Eric,Christina,1981
18,Andrew,Lisa,1981
19,Brandon,Erin,1981
20,Adam,Amber,1981
1,Michael,Jennifer,1982
2,Christopher,Jessica,1982
3,Matthew,Amanda,1982
4,Jason,Sarah,1982
5,David,Melissa,1982
6,James,Nicole,1982
7,Joshua,Stephanie,1982
8,John,Elizabeth,1982
9,Robert,Crystal,1982
10,Daniel,Amy,1982
11,Joseph,Michelle,1982
12,Justin,Heather,1982
13,Ryan,Tiffany,1982
14,Brian,Kimberly,1982
15,William,Rebecca,1982
16,Jonathan,Angela,1982
17,Andrew,Ashley,1982
18,Brandon,Amber,1982
19,Adam,Christina,1982
20,Eric,Erin,1982
1,Michael,Jennifer,1983
2,Christopher,Jessica,1983
3,Matthew,Amanda,1983
4,David,Ashley,1983
5,Joshua,Sarah,1983
6,James,Melissa,1983
7,Jason,Nicole,1983
8,Daniel,Stephanie,1983
9,John,Heather,1983
10,Robert,Elizabeth,1983
11,Joseph,Crystal,1983
12,Justin,Amy,1983
13,Ryan,Michelle,1983
14,Brian,Tiffany,1983
15,Andrew,Kimberly,1983
16,William,Christina,1983
17,Brandon,Amber,1983
18,Adam,Erin,1983
19,Jonathan,Rebecca,1983
20,Eric,Rachel,1983
1,Michael,Jennifer,1984
2,Christopher,Jessica,1984
3,Matthew,Ashley,1984
4,Joshua,Amanda,1984
5,David,Sarah,1984
6,Daniel,Stephanie,1984
7,James,Nicole,1984
8,John,Melissa,1984
9,Robert,Heather,1984
10,Joseph,Elizabeth,1984
11,Jason,Megan,1984
12,Ryan,Crystal,1984
13,Justin,Amy,1984
14,Andrew,Tiffany,1984
15,Brandon,Rachel,1984
16,William,Danielle,1984
17,Brian,Michelle,1984
18,Adam,Amber,1984
19,Jonathan,Laura,1984
20,Nicholas,Christina,1984
1,Michael,Jessica,1985
2,Christopher,Ashley,1985
3,Matthew,Jennifer,1985
4,Joshua,Amanda,1985
5,Daniel,Sarah,1985
6,David,Stephanie,1985
7,James,Nicole,1985
8,Robert,Heather,1985
9,John,Elizabeth,1985
10,Joseph,Megan,1985
11,Andrew,Melissa,1985
12,Ryan,Christina,1985
13,Brandon,Rachel,1985
14,Jason,Laura,1985
15,Justin,Lauren,1985
16,William,Amber,1985
17,Jonathan,Brittany,1985
18,Brian,Danielle,1985
19,Nicholas,Kimberly,1985
20,Anthony,Amy,1985
1,Michael,Jessica,1986
2,Christopher,Ashley,1986
3,Matthew,Amanda,1986
4,Joshua,Jennifer,1986
5,David,Sarah,1986
6,Daniel,Stephanie,1986
7,James,Nicole,1986
8,Andrew,Brittany,1986
9,Robert,Heather,1986
10,John,Elizabeth,1986
11,Ryan,Megan,1986
12,Joseph,Melissa,1986
13,Brandon,Amber,1986
14,Justin,Lauren,1986
15,William,Rachel,1986
16,Jonathan,Danielle,1986
17,Nicholas,Tiffany,1986
18,Jason,Kimberly,1986
19,Anthony,Christina,1986
20,Brian,Laura,1986
1,Michael,Jessica,1987
2,Christopher,Ashley,1987
3,Matthew,Amanda,1987
4,Joshua,Jennifer,1987
5,David,Sarah,1987
6,Andrew,Stephanie,1987
7,Daniel,Brittany,1987
8,James,Nicole,1987
9,Justin,Heather,1987
10,Robert,Elizabeth,1987
11,John,Samantha,1987
12,Joseph,Megan,1987
13,Ryan,Melissa,1987
14,Brandon,Danielle,1987
15,William,Amber,1987
16,Nicholas,Lauren,1987
17,Anthony,Rachel,1987
18,Jonathan,Tiffany,1987
19,Kevin,Emily,1987
20,Brian,Christina,1987
1,Michael,Jessica,1988
2,Christopher,Ashley,1988
3,Matthew,Amanda,1988
4,Joshua,Sarah,1988
5,Andrew,Jennifer,1988
6,David,Brittany,1988
7,Justin,Stephanie,1988
8,Daniel,Samantha,1988
9,James,Nicole,1988
10,Robert,Elizabeth,1988
11,John,Lauren,1988
12,Joseph,Megan,1988
13,Ryan,Tiffany,1988
14,Nicholas,Heather,1988
15,Jonathan,Amber,1988
16,William,Melissa,1988
17,Brandon,Danielle,1988
18,Anthony,Emily,1988
19,Kevin,Rachel,1988
20,Eric,Kayla,1988
1,Michael,Jessica,1989
2,Christopher,Ashley,1989
3,Matthew,Brittany,1989
4,Joshua,Amanda,1989
5,David,Sarah,1989
6,Daniel,Samantha,1989
7,Andrew,Jennifer,1989
8,Justin,Stephanie,1989
9,James,Lauren,1989
10,Robert,Elizabeth,1989
11,Joseph,Megan,1989
12,John,Nicole,1989
13,Ryan,Emily,1989
14,Nicholas,Amber,1989
15,William,Heather,1989
16,Anthony,Tiffany,1989
17,Jonathan,Danielle,1989
18,Brandon,Rachel,1989
19,Kevin,Melissa,1989
20,Kyle,Kayla,1989
1,Michael,Jessica,1990
2,Christopher,Ashley,1990
3,Matthew,Brittany,1990
4,Joshua,Amanda,1990
5,Daniel,Samantha,1990
6,David,Sarah,1990
7,Andrew,Stephanie,1990
8,James,Jennifer,1990
9,Justin,Elizabeth,1990
10,Joseph,Lauren,1990
11,Ryan,Megan,1990
12,John,Emily,1990
13,Robert,Nicole,1990
14,Nicholas,Kayla,1990
15,Anthony,Amber,1990
16,William,Rachel,1990
17,Jonathan,Courtney,1990
18,Kyle,Danielle,1990
19,Brandon,Heathe,1990
20,Jacob,Melissa,1990
1,Michael,Ashley,1991
2,Christopher,Jessica,1991
3,Matthew,Brittany,1991
4,Joshua,Amanda,1991
5,Andrew,Samantha,1991
6,Daniel,Sarah,1991
7,James,Stephanie,1991
8,David,Jennifer,1991
9,Joseph,Elizabeth,1991
10,John,Emily,1991
11,Ryan,Megan,1991
12,Nicholas,Kayla,1991
13,Robert,Lauren,1991
14,Justin,Rachel,1991
15,Brandon,Nicole,1991
16,Tyler,Amber,1991
17,Jacob,Danielle,1991
18,Anthony,Chelsea,1991
19,William,Courtney,1991
20,Jonathan,Melissa,1991
1,Michael,Ashley,1992
2,Christopher,Jessica,1992
3,Matthew,Amanda,1992
4,Joshua,Brittany,1992
5,Andrew,Sarah,1992
6,Brandon,Samantha,1992
7,Daniel,Emily,1992
8,Tyler,Stephanie,1992
9,James,Elizabeth,1992
10,David,Megan,1992
11,Joseph,Jennifer,1992
12,Nicholas,Lauren,1992
13,Ryan,Kayla,1992
14,John,Nicole,1992
15,Jacob,Chelsea,1992
16,Zachary,Rachel,1992
17,Robert,Taylor,1992
18,Justin,Danielle,1992
19,Anthony,Amber,1992
20,William,Rebecca,1992
1,Michael,Jessica,1993
2,Christopher,Ashley,1993
3,Matthew,Sarah,1993
4,Joshua,Samantha,1993
5,Tyler,Emily,1993
6,Brandon,Brittany,1993
7,Daniel,Taylor,1993
8,Nicholas,Amanda,1993
9,Jacob,Elizabeth,1993
10,Andrew,Stephanie,1993
11,David,Megan,1993
12,Joseph,Lauren,1993
13,Ryan,Nicole,1993
14,James,Rachel,1993
15,Zachary,Jennifer,1993
16,John,Kayla,1993
17,Robert,Amber,1993
18,William,Danielle,1993
19,Anthony,Victoria,1993
20,Justin,Courtney,1993
1,Michael,Jessica,1994
2,Christopher,Ashley,1994
3,Matthew,Emily,1994
4,Joshua,Samantha,1994
5,Tyler,Sarah,1994
6,Brandon,Taylor,1994
7,Jacob,Brittany,1994
8,Daniel,Amanda,1994
9,Nicholas,Elizabeth,1994
10,Andrew,Megan,1994
11,Joseph,Nicole,1994
12,Zachary,Kayla,1994
13,David,Rachel,1994
14,James,Lauren,1994
15,John,Stephanie,1994
16,Ryan,Hannah,1994
17,Austin,Jennifer,1994
18,Anthony,Alexis,1994
19,William,Victoria,1994
20,Justin,Danielle,1994
1,Michael,Jessica,1995
2,Matthew,Ashley,1995
3,Christopher,Emily,1995
4,Jacob,Samantha,1995
5,Joshua,Sarah,1995
6,Nicholas,Taylor,1995
7,Tyler,Hannah,1995
8,Brandon,Brittany,1995
9,Daniel,Amanda,1995
10,Austin,Elizabeth,1995
11,Andrew,Kayla,1995
12,Joseph,Rachel,1995
13,John,Megan,1995
14,Zachary,Alexis,1995
15,Ryan,Lauren,1995
16,David,Stephanie,1995
17,James,Courtney,1995
18,Justin,Jennifer,1995
19,Anthony,Nicole,1995
20,William,Victoria,1995
1,Michael,Emily,1996
2,Matthew,Jessica,1996
3,Jacob,Ashley,1996
4,Christopher,Sarah,1996
5,Joshua,Samantha,1996
6,Nicholas,Taylor,1996
7,Tyler,Hannah,1996
8,Brandon,Alexis,1996
9,Austin,Rachel,1996
10,Andrew,Elizabeth,1996
11,Daniel,Kayla,1996
12,Joseph,Megan,1996
13,David,Amanda,1996
14,Zachary,Brittany,1996
15,John,Madison,1996
16,Ryan,Lauren,1996
17,James,Brianna,1996
18,William,Victoria,1996
19,Anthony,Jennifer,1996
20,Justin,Stephanie,1996
1,Michael,Emily,1997
2,Jacob,Jessica,1997
3,Matthew,Ashley,1997
4,Christopher,Sarah,1997
5,Joshua,Hannah,1997
6,Nicholas,Samantha,1997
7,Andrew,Taylor,1997
8,Brandon,Alexis,1997
9,Austin,Elizabeth,1997
10,Tyler,Madison,1997
11,Daniel,Megan,1997
12,Joseph,Kayla,1997
13,Zachary,Rachel,1997
14,David,Lauren,1997
15,John,Alyssa,1997
16,Ryan,Amanda,1997
17,James,Brianna,1997
18,Anthony,Jennifer,1997
19,William,Victoria,1997
20,Justin,Brittany,1997
1,Michael,Emily,1998
2,Jacob,Hannah,1998
3,Matthew,Samantha,1998
4,Joshua,Sarah,1998
5,Christopher,Ashley,1998
6,Nicholas,Alexis,1998
7,Brandon,Taylor,1998
8,Tyler,Jessica,1998
9,Andrew,Madison,1998
10,Austin,Elizabeth,1998
11,Joseph,Alyssa,1998
12,Daniel,Kayla,1998
13,David,Megan,1998
14,William,Lauren,1998
15,John,Rachel,1998
16,Zachary,Victoria,1998
17,Ryan,Brianna,1998
18,James,Abigail,1998
19,Anthony,Amanda,1998
20,Justin,Jennifer,1998
1,Jacob,Emily,1999
2,Michael,Hannah,1999
3,Matthew,Alexis,1999
4,Joshua,Sarah,1999
5,Nicholas,Samantha,1999
6,Christopher,Ashley,1999
7,Andrew,Madison,1999
8,Joseph,Taylor,1999
9,Daniel,Jessica,1999
10,Tyler,Elizabeth,1999
11,Brandon,Alyssa,1999
12,Ryan,Lauren,1999
13,Austin,Kayla,1999
14,William,Brianna,1999
15,John,Megan,1999
16,David,Victoria,1999
17,Zachary,Emma,1999
18,Anthony,Abigail,1999
19,James,Rachel,1999
20,Justin,Olivia,1999
1,Jacob,Emily,2000
2,Michael,Hannah,2000
3,Matthew,Madison,2000
4,Joshua,Ashley,2000
5,Christopher,Sarah,2000
6,Nicholas,Alexis,2000
7,Andrew,Samantha,2000
8,Joseph,Jessica,2000
9,Daniel,Elizabeth,2000
10,Tyler,Taylor,2000
11,William,Lauren,2000
12,Brandon,Alyssa,2000
13,Ryan,Kayla,2000
14,John,Abigail,2000
15,Zachary,Brianna,2000
16,David,Olivia,2000
17,Anthony,Emma,2000
18,James,Megan,2000
19,Justin,Grace,2000
20,Alexander,Victoria,2000
1,Jacob,Emily,2001
2,Michael,Madison,2001
3,Matthew,Hannah,2001
4,Joshua,Ashley,2001
5,Christopher,Alexis,2001
6,Nicholas,Sarah,2001
7,Andrew,Samantha,2001
8,Joseph,Abigail,2001
9,Daniel,Elizabeth,2001
10,William,Olivia,2001
11,Anthony,Jessica,2001
12,David,Taylor,2001
13,Tyler,Emma,2001
14,John,Alyssa,2001
15,Ryan,Lauren,2001
16,Zachary,Grace,2001
17,Ethan,Kayla,2001
18,Brandon,Brianna,2001
19,James,Anna,2001
20,Alexander,Megan,2001
1,Jacob,Emily,2002
2,Michael,Madison,2002
3,Joshua,Hannah,2002
4,Matthew,Emma,2002
5,Ethan,Alexis,2002
6,Andrew,Ashley,2002
7,Joseph,Abigail,2002
8,Christopher,Sarah,2002
9,Nicholas,Samantha,2002
10,Daniel,Olivia,2002
11,William,Elizabeth,2002
12,Anthony,Alyssa,2002
13,David,Lauren,2002
14,Tyler,Isabella,2002
15,Alexander,Grace,2002
16,Ryan,Jessica,2002
17,John,Brianna,2002
18,James,Taylor,2002
19,Zachary,Kayla,2002
20,Brandon,Anna,2002
1,Jacob,Emily,2003
2,Michael,Emma,2003
3,Joshua,Madison,2003
4,Matthew,Hannah,2003
5,Andrew,Olivia,2003
6,Joseph,Abigail,2003
7,Ethan,Alexis,2003
8,Daniel,Ashley,2003
9,Christopher,Elizabeth,2003
10,Anthony,Samantha,2003
11,William,Isabella,2003
12,Nicholas,Sarah,2003
13,Ryan,Grace,2003
14,David,Alyssa,2003
15,Tyler,Lauren,2003
16,Alexander,Kayla,2003
17,John,Brianna,2003
18,James,Jessica,2003
19,Dylan,Taylor,2003
20,Zachary,Sophia,2003
1,Jacob,Emily,2004
2,Michael,Emma,2004
3,Joshua,Madison,2004
4,Matthew,Olivia,2004
5,Ethan,Hannah,2004
6,Andrew,Abigail,2004
7,Daniel,Isabella,2004
8,William,Ashley,2004
9,Joseph,Samantha,2004
10,Christopher,Elizabeth,2004
11,Anthony,Alexis,2004
12,Ryan,Sarah,2004
13,Nicholas,Grace,2004
14,David,Alyssa,2004
15,Alexander,Sophia,2004
16,Tyler,Lauren,2004
17,James,Brianna,2004
18,John,Kayla,2004
19,Dylan,Natalie,2004
20,Nathan,Anna,2004
1,Jacob,Emily,2005
2,Michael,Emma,2005
3,Joshua,Madison,2005
4,Matthew,Abigail,2005
5,Ethan,Olivia,2005
6,Andrew,Isabella,2005
7,Daniel,Hannah,2005
8,Anthony,Samantha,2005
9,Joseph,Ava,2005
10,Christopher,Ashley,2005
11,William,Elizabeth,2005
12,Alexander,Sophia,2005
13,David,Alexis,2005
14,Ryan,Grace,2005
15,Nicholas,Sarah,2005
16,Tyler,Alyssa,2005
17,James,Mia,2005
18,John,Natalie,2005
19,Jonathan,Chloe,2005
20,Nathan,Brianna,2005
1,Jacob,Emily,2006
2,Michael,Emma,2006
3,Joshua,Madison,2006
4,Ethan,Isabella,2006
5,Matthew,Ava,2006
6,Daniel,Abigail,2006
7,Andrew,Olivia,2006
8,Christopher,Hannah,2006
9,Anthony,Sophia,2006
10,William,Samantha,2006
11,Joseph,Elizabeth,2006
12,Alexander,Ashley,2006
13,David,Mia,2006
14,Ryan,Alexis,2006
15,Noah,Sarah,2006
16,James,Grace,2006
17,Nicholas,Natalie,2006
18,Tyler,Chloe,2006
19,John,Alyssa,2006
20,Logan,Brianna,2006
1,Jacob,Emily,2007
2,Michael,Isabella,2007
3,Ethan,Emma,2007
4,Joshua,Ava,2007
5,Daniel,Madison,2007
6,Christopher,Sophia,2007
7,Anthony,Olivia,2007
8,William,Abigail,2007
9,Matthew,Hannah,2007
10,Andrew,Elizabeth,2007
11,Alexander,Addison,2007
12,David,Samantha,2007
13,Joseph,Ashley,2007
14,Noah,Alyssa,2007
15,James,Mia,2007
16,Ryan,Chloe,2007
17,Logan,Natalie,2007
18,Jayden,Sarah,2007
19,John,Alexis,2007
20,Nicholas,Grace,2007
1,Jacob,Emma,2008
2,Michael,Isabella,2008
3,Ethan,Emily,2008
4,Joshua,Olivia,2008
5,Daniel,Ava,2008
6,Alexander,Madison,2008
7,Anthony,Sophia,2008
8,William,Abigail,2008
9,Christopher,Elizabeth,2008
10,Matthew,Chloe,2008
11,Jayden,Samantha,2008
12,Andrew,Addison,2008
13,Joseph,Natalie,2008
14,David,Mia,2008
15,Noah,Alexis,2008
16,Aiden,Alyssa,2008
17,James,Hannah,2008
18,Ryan,Ashley,2008
19,Logan,Ella,2008
20,John,Sarah,2008
1,Jacob,Isabella,2009
2,Ethan,Emma,2009
3,Michael,Olivia,2009
4,Alexander,Sophia,2009
5,William,Ava,2009
6,Joshua,Emily,2009
7,Daniel,Madison,2009
8,Jayden,Abigail,2009
9,Noah,Chloe,2009
10,Christopher,Mia,2009
11,Anthony,Elizabeth,2009
12,Aiden,Addison,2009
13,Matthew,Alexis,2009
14,David,Samantha,2009
15,Joseph,Ella,2009
16,Andrew,Natalie,2009
17,Logan,Grace,2009
18,James,Lily,2009
19,Benjamin,Alyssa,2009
20,Ryan,Ashley,2009
1,Jacob,Isabella,2010
2,Ethan,Sophia,2010
3,Michael,Emma,2010
4,Jayden,Olivia,2010
5,William,Ava,2010
6,Alexander,Emily,2010
7,Noah,Abigail,2010
8,Daniel,Madison,2010
9,Aiden,Chloe,2010
10,Anthony,Mia,2010
11,Joshua,Addison,2010
12,Mason,Elizabeth,2010
13,Christopher,Ella,2010
14,Andrew,Natalie,2010
15,David,Samantha,2010
16,Matthew,Alexis,2010
17,Logan,Lily,2010
18,Elijah,Grace,2010
19,James,Hailey,2010
20,Joseph,Hannah,2010
1,Jacob,Sophia,2011
2,Mason,Isabella,2011
3,William,Emma,2011
4,Jayden,Olivia,2011
5,Noah,Ava,2011
6,Michael,Emily,2011
7,Ethan,Abigail,2011
8,Alexander,Madison,2011
9,Aiden,Mia,2011
10,Daniel,Chloe,2011
11,Anthony,Elizabeth,2011
12,Matthew,Ella,2011
13,Elijah,Addison,2011
14,Joshua,Natalie,2011
15,Liam,Lily,2011
16,Andrew,Grace,2011
17,James,Samantha,2011
18,David,Avery,2011
19,Benjamin,Sofia,2011
20,Christopher,Aubrey,2011
1,Jacob,Sophia,2012
2,Mason,Emma,2012
3,Ethan,Isabella,2012
4,Noah,Olivia,2012
5,William,Ava,2012
6,Liam,Emily,2012
7,Michael,Abigail,2012
8,Jayden,Mia,2012
9,Alexander,Madison,2012
10,Aiden,Elizabeth,2012
11,Daniel,Chloe,2012
12,Matthew,Ella,2012
13,Elijah,Avery,2012
14,James,Addison,2012
15,Anthony,Aubrey,2012
16,Benjamin,Lily,2012
17,Joshua,Natalie,2012
18,Andrew,Sofia,2012
19,Joseph,Charlotte,2012
20,David,Zoey,2012
1,Noah,Sophia,2013
2,Jacob,Emma,2013
3,Liam,Olivia,2013
4,Mason,Isabella,2013
5,William,Ava,2013
6,Ethan,Mia,2013
7,Michael,Emily,2013
8,Alexander,Abigail,2013
9,Jayden,Madison,2013
10,Daniel,Elizabeth,2013
11,Elijah,Charlotte,2013
12,Aiden,Avery,2013
13,James,Sofia,2013
14,Benjamin,Chloe,2013
15,Matthew,Ella,2013
16,Jackson,Harper,2013
17,David,Amelia,2013
18,Logan,Aubrey,2013
19,Anthony,Addison,2013
20,Joseph,Evelyn,2013
1,Noah,Emma,2014
2,Liam,Olivia,2014
3,Mason,Sophia,2014
4,Jacob,Isabella,2014
5,William,Ava,2014
6,Ethan,Mia,2014
7,Michael,Emily,2014
8,Alexander,Abigail,2014
9,James,Madison,2014
10,Daniel,Charlotte,2014
11,Elijah,Harper,2014
12,Benjamin,Sofia,2014
13,Logan,Elizabeth,2014
14,Aiden,Avery,2014
15,Jayden,Amelia,2014
16,Matthew,Evelyn,2014
17,Jackson,Ella,2014
18,David,Chloe,2014
19,Lucas,Victoria,2014
20,Joseph,Grace,2014
1,Noah,Emma,2015
2,Liam,Olivia,2015
3,Mason,Sophia,2015
4,Jacob,Ava,2015
5,William,Isabella,2015
6,Ethan,Mia,2015
7,James,Abigail,2015
8,Alexander,Emily,2015
9,Michael,Charlotte,2015
10,Benjamin,Harper,2015
11,Elijah,Madison,2015
12,Daniel,Amelia,2015
13,Aiden,Elizabeth,2015
14,Logan,Sofia,2015
15,Matthew,Evelyn,2015
16,Lucas,Avery,2015
17,Jackson,Chloe,2015
18,David,Ella,2015
19,Oliver,Grace,2015
20,Jayden,Victoria,2015
1,Noah,Emma,2016
2,Liam,Olivia,2016
3,William,Ava,2016
4,Mason,Sophia,2016
5,James,Isabella,2016
6,Benjamin,Mia,2016
7,Jacob,Charlotte,2016
8,Michael,Abigail,2016
9,Elijah,Emily,2016
10,Ethan,Harper,2016
11,Alexander,Amelia,2016
12,Oliver,Evelyn,2016
13,Daniel,Elizabeth,2016
14,Lucas,Sofia,2016
15,Matthew,Madison,2016
16,Aiden,Avery,2016
17,Jackson,Ella,2016
18,Logan,Scarlett,2016
19,David,Grace,2016
20,Joseph,Chloe,2016
1,Liam,Emma,2017
2,Noah,Olivia,2017
3,William,Ava,2017
4,James,Isabella,2017
5,Logan,Sophia,2017
6,Benjamin,Mia,2017
7,Mason,Charlotte,2017
8,Elijah,Amelia,2017
9,Jacob,Evelyn,2017
10,Oliver,Abigail,2017
11,Lucas,Harper,2017
12,Michael,Emily,2017
13,Alexander,Elizabeth,2017
14,Ethan,Avery,2017
15,Daniel,Sofia,2017
16,Matthew,Ella,2017
17,Aiden,Madison,2017
18,Henry,Scarlett,2017
19,Joseph,Victoria,2017
20,Jackson,Aria,2017
1,Liam,Emma,2018
2,Noah,Olivia,2018
3,William,Ava,2018
4,James,Isabella,2018
5,Oliver,Sophia,2018
6,Benjamin,Charlotte,2018
7,Elijah,Mia,2018
8,Lucas,Amelia,2018
9,Mason,Harper,2018
10,Logan,Evelyn,2018
11,Alexander,Abigail,2018
12,Ethan,Emily,2018
13,Jacob,Elizabeth,2018
14,Michael,Mila,2018
15,Daniel,Ella,2018
16,Henry,Avery,2018
17,Jackson,Sofia,2018
18,Sebastian,Camila,2018
19,Aiden,Aria,2018
20,Matthew,Scarlett,2018
1,Liam,Olivia,2019
2,Noah,Emma,2019
3,Oliver,Ava,2019
4,William,Sophia,2019
5,Elijah,Isabella,2019
6,James,Charlotte,2019
7,Benjamin,Amelia,2019
8,Lucas,Mia,2019
9,Mason,Harper,2019
10,Ethan,Evelyn,2019
11,Alexander,Abigail,2019
12,Henry,Emily,2019
13,Jacob,Ella,2019
14,Michael,Elizabeth,2019
15,Daniel,Camila,2019
16,Logan,Luna,2019
17,Jackson,Sofia,2019
18,Sebastian,Avery,2019
19,Jack,Mila,2019
20,Aiden,Aria,2019
1,Liam,Olivia,2020
2,Noah,Emma,2020
3,Oliver,Ava,2020
4,Elijah,Charlotte,2020
5,William,Sophia,2020
6,James,Amelia,2020
7,Benjamin,Isabella,2020
8,Lucas,Mia,2020
9,Henry,Evelyn,2020
10,Alexander,Harper,2020
11,Mason,Camila,2020
12,Michael,Gianna,2020
13,Ethan,Abigail,2020
14,Daniel,Luna,2020
15,Jacob,Ella,2020
16,Logan,Elizabeth,2020
17,Jackson,Sofia,2020
18,Levi,Emily,2020
19,Sebastian,Avery,2020
20,Mateo,Mila,2020
