,Year,Month,Day,Intensity Richter,Area,Region,Deaths
,1902,April,19,7.5,Quezaltenango and San Marco,Guatemala,2000
,1902,December,16,6.4,Uzbekistan,Russia,4700
,1903,April,28,7.0,Malazgirt,Turkey,3500
,1903,May,28,5.8,Gole,Turkey,1000
,1905,April,4,7.5,Kangra,India,19000
,1906,January,31,8.8,Esmeraldas (off coast),Ecuador,1000
,1906,March,16,6.8,Chia-i,Taiwan,1250
,1906,April,18,7.7,San Francisco,United States,3000
,1906,August,17,8.6,Valparaiso,Chile,3882
,1907,October,21,8.1,Central,Asia,12000
,1908,December,28,7.2,Messina,Italy,72000
,1909,January,23,7.3,Silakhor,Iran,5000
,1912,August,9,7.4,Murefte,Turkey,2800
,1914,October,3,7.0,Burdur,Turkey,4000
,1915,January,13,7.0,Avezzano,Italy,32610
,1917,July,30,7.5,Yunnan,China,1800
,1918,February,13,7.4,Guangdong,China,1000
,1920,December,16,7.8,Gansu,China,200000
,1923,March,24,7.3,Sichuan,China,3500
,1923,March,25,5.7,Torbat-e Heydariyeh,Iran,2200
,1923,September,1,7.9,Yokohama,Japan,142800
,1925,March,16,7.0,Yunnan,China,5800
,1927,March,7,7.6,Tango,Japan,3020
,1927,May,22,7.6,Gansu,China,40900
,1929,May,1,7.2,Koppeh Dagh,Iran,3800
,1930,May,6,7.2,Salmas,Iran,2500
,1930,July,23,6.5,Irpinia,Italy,1404
,1931,March,31,6.0,Managua,Nicaragua,2500
,1931,April,27,5.7,Border,Armenia-Azerbaijan,2800
,1931,August,10,8.0,Xinjiang,China,10000
,1933,March,2,8.4,Sanriku,Japan,2990
,1933,March,10,6.2,Long Beach,United States,115
,1933,August,25,7.5,Sichuan,China,9300
,1934,January,15,8.1,Bihar,India-Nepal,10700
,1935,April,21,7.1,Miao-Li,Taiwan,3270
,1935,May,30,7.6,Quetta,Pakistan,30000
,1939,January,25,7.8,Chillan,Chile,28000
,1939,December,26,7.8,Erzincan,Turkey,32700
,1940,November,10,7.3,Vrancea,Romania,1000
,1942,December,20,7.3,Erbaa,Turkey,1100
,1943,September,10,7.4,Tottori,Japan,1190
,1943,November,26,7.6,Ladik,Turkey,4000
,1944,January,15,7.4,San Juan,Argentina,8000
,1944,February,1,7.4,Gerede,Turkey,2790
,1945,January,12,7.1,Mikawa,Japan,1961
,1945,November,27,8.0,Makran Coast,Pakistan,4000
,1946,May,31,5.9,Ustukran,Turkey,1300
,1946,November,10,7.3,Ancash,Peru,1400
,1946,December,29,8.1,Honshu,Japan,1362
,1948,June,28,7.3,Fukui,Japan,3769
,1948,October,5,7.3,Ashgabat,Turkmenistan,110000
,1949,July,10,7.5,Khait,Tajikistan,12000
,1949,August,5,6.8,Pelileo,Ecuador,5050
,1950,August,15,8.6,Assam,India,1526
,1951,August,2,5.8,Cosiguina,Nicaragua,1000
,1953,March,18,7.3,Northwest,Turkey,1070
,1954,September,9,6.8,Orleansville,Algeria,1250
,1956,June,10,7.7,North ,Afghanistan,2000
,1957,July,2,7.1,North ,Iran,1200
,1957,December,13,7.1,West,Iran,1130
,1960,February,29,5.7,Agadir,Morocco,12000
,1960,May,21,9.5,South,Chile,1655
,1962,September,1,7.1,Northwest,Iran,12255
,1963,July,26,6.0,Skopje,Yugoslavia,1100
,1964,March,27,9.2,Alaska,United States,131
,1966,March,7,7.0,Hebei,China,1000
,1966,March,22,6.9,Hebei,Chine,1000
,1966,August,19,6.8,East ,Turkey,2529
,1968,August,31,7.3,Northeast,Iran,12000
,1969,July,25,5.9,Guangdong,China,3000
,1970,January,5,7.5,Yunnan,China,10000
,1970,March,28,6.9,West,Turkey,1086
,1970,May,31,7.9,Chimbote,Peru,700000
,1971,February,9,6.6,San Fernando Valley,United States,65
,1971,May,22,6.9,SE of Ankara,Turkey,1000
,1972,April,10,7.1,South,Iran,5054
,1972,December,23,6.2,Managua,Nicaragua,5000
,1974,May,10,6.8,,China,20000
,1974,December,28,6.2,North,Pakistan,5300
,1975,February,4,7.0,Haicheng,China,2000
,1975,September,6,6.7,East ,Turkey,2300
,1976,February,4,7.5,,Guatemala,23000
,1976,May,6,6.5,Northeast,Italy,1000
,1976,June,25,7.1,Irian Jaya,New Guinea,422
,1976,July,28,7.5,Tangshan,China,255000
,1976,August,16,7.9,Mindanao,Philippines,8000
,1976,November,24,7.3,Northwest Border,Iran-Turkey,5000
,1977,March,4,7.2,,Romania,1500
,1978,September,16,7.8,Northeast,Iran,15000
,1980,October,10,7.7,Northwest,Algeria,5000
,1980,November,23,6.5,South,Italy,2735
,1981,June,11,6.9,South,Iran,3000
,1981,July,28,7.3,South,Iran,1500
,1982,December,13,6.0,W Arabian Peninsula,,2800
,1983,October,30,6.9,East ,Turkey,1342
,1985,September,19,8.0,Michoacan,Mexico,9500
,1986,October,10,5.5,,El Salvador,1000
,1987,March,6,7.0,Border,Colombia-Ecuador,1000
,1988,August,20,6.8,Border,India-Nepal,1000
,1988,December,7,6.8,Spitak,Armenia ,25000
,1989,October,17,6.9,San Francisco,United States,63
,1990,June,20,7.4,West,Iran ,40000
,1990,July,16,7.7,Luzon,Philippines,1621
,1991,February,1,6.8,Border,Pakistan-Afghanistan,1200
,1991,October,19,7.0,North ,India ,2000
,1992,March,13,6.8,East ,Turkey ,4000
,1992,March,15,6.0,East ,Turkey,
,1992,June,28,7.3,Landers,United States,3
,1992,June,28,6.5,Big Bear,United States,
,1992,December,12,7.5,Flores Island,Indonesia,2500
,1993,September,30,6.2,Maharashtra,India,9748
,1994,January,17,6.8,Northridge,United States,61
,1994,June,6,6.8,Cauca,Colombia ,1000
,1995,January,16,6.9,Kobe,Japan,5502
,1995,May,27,7.5,Sakhalin Island,Russia,1989
,1997,February,28,6.1,Northwest,Iran,1000
,1997,May,10,7.3,North,Iran,1567
,1998,February,4,5.9,Hindu Kush,Afghanistan,2323
,1998,May,30,6.6,Border,Afghanistan-Tajikistan,4000
,1998,July,17,7.0,Papua,New Guinea,2183
,1999,January,25,6.1,Armenia,Colombia,1185
,1999,August,17,7.6,Izmit,Turkey,17118
,1999,September,20,7.6,Taichung,Taiwan,2400