gender,oscar_no,oscar_yr,name,movie,age,birth_pl,birth_mo,birth_d,birth_y
female,85,2013,Jennifer Lawrence,Silver Linings Playbook,28,Kentucky,8,15,1990
female,86,2014,Cate Blanchett,Blue Jasmine,44,Australia,5,14,1969
female,87,2015,Julianne Moore,Still Alice,54,North Carolina,12,3,1960
female,88,2016,Brie Larson,Room,26,California,10,1,1989
female,89,2017,Emma Stone,La La Land,28,Arizona,11,6,1988
female,90,2018,Frances McDormand,Three Billboards Outside of Ebbing Missouri,60,Illinois,6,23,1957
female,91,2019,Olivia Colman,The Favourite,44,England,1,30,1974
male,85,2013,Daniel Day-Lewis,Lincoln,61,England,4,29,1957
male,86,2014,Matthew McConaughey,Dallas Buyers Club,44,Texas,11,4,1969
male,87,2015,Eddie Redmayne,The Theory of Everything,32,England,1,6,1982
male,88,2016,Leonardo Di Caprio,The Revenant,41,California,11,11,1974
male,89,2017,Casey Affleck,Manchester by the Sa,41,Massachusetts,8,12,1975
male,90,2018,Gary Oldman,Darkest Hour,59,England,3,21,1958
male,91,2019,Rami Malek,Bohemian Rhapsody,37,California,5,12,1981