Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/22,AQS,370630015,3,5.3,ug/m3 LC,22,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/2/22,AQS,370630015,3,2.8,ug/m3 LC,12,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/3/22,AQS,370630015,3,2.3,ug/m3 LC,10,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/4/22,AQS,370630015,3,5.1,ug/m3 LC,21,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/5/22,AQS,370630015,3,8.5,ug/m3 LC,35,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/6/22,AQS,370630015,3,7,ug/m3 LC,29,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/7/22,AQS,370630015,3,3.6,ug/m3 LC,15,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/8/22,AQS,370630015,3,6.7,ug/m3 LC,28,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/9/22,AQS,370630015,3,6.7,ug/m3 LC,28,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/10/22,AQS,370630015,3,3.5,ug/m3 LC,15,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/11/22,AQS,370630015,3,5.9,ug/m3 LC,25,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/12/22,AQS,370630015,3,8.6,ug/m3 LC,36,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/13/22,AQS,370630015,3,11.8,ug/m3 LC,49,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/14/22,AQS,370630015,3,8.5,ug/m3 LC,35,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/15/22,AQS,370630015,3,6.7,ug/m3 LC,28,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/16/22,AQS,370630015,3,4.6,ug/m3 LC,19,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/17/22,AQS,370630015,3,4.6,ug/m3 LC,19,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/18/22,AQS,370630015,3,5.7,ug/m3 LC,24,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/19/22,AQS,370630015,3,11,ug/m3 LC,46,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/20/22,AQS,370630015,3,9.2,ug/m3 LC,38,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/21/22,AQS,370630015,3,4.5,ug/m3 LC,19,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/22/22,AQS,370630015,3,6.7,ug/m3 LC,28,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/23/22,AQS,370630015,3,11.7,ug/m3 LC,49,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/24/22,AQS,370630015,3,9.2,ug/m3 LC,38,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/25/22,AQS,370630015,3,11.5,ug/m3 LC,48,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/26/22,AQS,370630015,3,8.1,ug/m3 LC,34,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/27/22,AQS,370630015,3,11.3,ug/m3 LC,47,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/28/22,AQS,370630015,3,15,ug/m3 LC,57,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/29/22,AQS,370630015,3,6.3,ug/m3 LC,26,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/30/22,AQS,370630015,3,6.8,ug/m3 LC,28,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/31/22,AQS,370630015,3,10.8,ug/m3 LC,45,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/1/22,AQS,370630015,3,10.8,ug/m3 LC,45,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/2/22,AQS,370630015,3,10.1,ug/m3 LC,42,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/3/22,AQS,370630015,3,10,ug/m3 LC,42,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/4/22,AQS,370630015,3,3,ug/m3 LC,13,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/5/22,AQS,370630015,3,3.7,ug/m3 LC,15,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/6/22,AQS,370630015,3,7.5,ug/m3 LC,31,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/7/22,AQS,370630015,3,6.2,ug/m3 LC,26,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/8/22,AQS,370630015,3,7,ug/m3 LC,29,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/9/22,AQS,370630015,3,8.5,ug/m3 LC,35,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/10/22,AQS,370630015,3,6.8,ug/m3 LC,28,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/11/22,AQS,370630015,3,9.3,ug/m3 LC,39,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/12/22,AQS,370630015,3,17.4,ug/m3 LC,62,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/13/22,AQS,370630015,3,9.7,ug/m3 LC,40,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/14/22,AQS,370630015,3,7.2,ug/m3 LC,30,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/15/22,AQS,370630015,3,8.6,ug/m3 LC,36,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/16/22,AQS,370630015,3,9.7,ug/m3 LC,40,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/17/22,AQS,370630015,3,5.8,ug/m3 LC,24,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/18/22,AQS,370630015,3,2.3,ug/m3 LC,10,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/19/22,AQS,370630015,3,3.2,ug/m3 LC,13,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/20/22,AQS,370630015,3,4.7,ug/m3 LC,20,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/21/22,AQS,370630015,3,9.6,ug/m3 LC,40,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/22/22,AQS,370630015,3,4.2,ug/m3 LC,18,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/23/22,AQS,370630015,3,7.2,ug/m3 LC,30,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/24/22,AQS,370630015,3,5.7,ug/m3 LC,24,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/25/22,AQS,370630015,3,5.3,ug/m3 LC,22,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/26/22,AQS,370630015,3,4.7,ug/m3 LC,20,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/27/22,AQS,370630015,3,6.5,ug/m3 LC,27,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
2/28/22,AQS,370630015,3,4.7,ug/m3 LC,20,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/1/22,AQS,370630015,3,7.1,ug/m3 LC,30,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/2/22,AQS,370630015,3,8.1,ug/m3 LC,34,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/3/22,AQS,370630015,3,8.4,ug/m3 LC,35,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/4/22,AQS,370630015,3,5.3,ug/m3 LC,22,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/5/22,AQS,370630015,3,14.7,ug/m3 LC,56,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/6/22,AQS,370630015,3,9.7,ug/m3 LC,40,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/7/22,AQS,370630015,3,6.9,ug/m3 LC,29,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/8/22,AQS,370630015,3,3.6,ug/m3 LC,15,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/9/22,AQS,370630015,3,3.4,ug/m3 LC,14,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/10/22,AQS,370630015,3,4.5,ug/m3 LC,19,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/11/22,AQS,370630015,3,5.7,ug/m3 LC,24,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/12/22,AQS,370630015,3,4.4,ug/m3 LC,18,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/13/22,AQS,370630015,3,4.8,ug/m3 LC,20,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/14/22,AQS,370630015,3,5.8,ug/m3 LC,24,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/15/22,AQS,370630015,3,11.6,ug/m3 LC,48,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/16/22,AQS,370630015,3,12,ug/m3 LC,50,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/17/22,AQS,370630015,3,4.8,ug/m3 LC,20,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/18/22,AQS,370630015,3,8,ug/m3 LC,33,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/19/22,AQS,370630015,3,6.5,ug/m3 LC,27,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/20/22,AQS,370630015,3,2.4,ug/m3 LC,10,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/21/22,AQS,370630015,3,5.1,ug/m3 LC,21,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/22/22,AQS,370630015,3,9.8,ug/m3 LC,41,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/23/22,AQS,370630015,3,6.7,ug/m3 LC,28,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/24/22,AQS,370630015,3,5.8,ug/m3 LC,24,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/25/22,AQS,370630015,3,4.5,ug/m3 LC,19,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/26/22,AQS,370630015,3,2.3,ug/m3 LC,10,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/27/22,AQS,370630015,3,2.2,ug/m3 LC,9,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/28/22,AQS,370630015,3,2.7,ug/m3 LC,11,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/29/22,AQS,370630015,3,4.6,ug/m3 LC,19,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/30/22,AQS,370630015,3,10,ug/m3 LC,42,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
3/31/22,AQS,370630015,3,8.6,ug/m3 LC,36,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/1/22,AQS,370630015,3,4.6,ug/m3 LC,19,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/2/22,AQS,370630015,3,4.9,ug/m3 LC,20,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/3/22,AQS,370630015,3,7.7,ug/m3 LC,32,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/4/22,AQS,370630015,3,7.8,ug/m3 LC,33,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/5/22,AQS,370630015,3,9.9,ug/m3 LC,41,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/6/22,AQS,370630015,3,5.6,ug/m3 LC,23,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/7/22,AQS,370630015,3,5.4,ug/m3 LC,23,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/8/22,AQS,370630015,3,2.8,ug/m3 LC,12,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/9/22,AQS,370630015,3,1.7,ug/m3 LC,7,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/10/22,AQS,370630015,3,2,ug/m3 LC,8,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/11/22,AQS,370630015,3,11.7,ug/m3 LC,49,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/12/22,AQS,370630015,3,11,ug/m3 LC,46,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/13/22,AQS,370630015,3,10.4,ug/m3 LC,43,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/14/22,AQS,370630015,3,8.5,ug/m3 LC,35,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/15/22,AQS,370630015,3,2.5,ug/m3 LC,10,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/16/22,AQS,370630015,3,7,ug/m3 LC,29,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/17/22,AQS,370630015,3,7.2,ug/m3 LC,30,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/18/22,AQS,370630015,3,3.3,ug/m3 LC,14,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/19/22,AQS,370630015,3,3.4,ug/m3 LC,14,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/20/22,AQS,370630015,3,6.6,ug/m3 LC,28,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/21/22,AQS,370630015,3,6.9,ug/m3 LC,29,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/22/22,AQS,370630015,3,10.5,ug/m3 LC,44,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/23/22,AQS,370630015,3,12.5,ug/m3 LC,52,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/24/22,AQS,370630015,3,9.5,ug/m3 LC,40,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/25/22,AQS,370630015,3,9.9,ug/m3 LC,41,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/26/22,AQS,370630015,3,10,ug/m3 LC,42,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
4/27/22,AQS,370630015,3,3.9,ug/m3 LC,16,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
