average_mpg,state,stop_and_go,highway,last_updated
128.6,NV,,,2/20/19
202.6,CA,0.48,0.52,2/16/19
98.4,AL,0.33,0.67,3/31/17
241.1,FL,,,12/18/18
148.9,CA,0.8,0.2,4/25/18
140.7,OK,0.44,0.56,11/26/18
64.0,NY,0.5,0.5,9/9/18
85.0,MO,0.5,0.5,6/14/17
225.7,OH,0.9,0.1,1/31/17
44.0,VA,0.2,0.8,2/1/17
108.5,CA,0.22,0.78,8/12/17
128.4,NJ,0.35,0.65,11/11/17
108.4,MI,,,4/7/19
206.2,MD,,,12/11/18
201.2,CA,0.4,0.6,3/28/19
309.1,SC,0.6,0.4,6/22/17
83.8,VA,0.24,0.76,2/25/19
134.3,NY,0.46,0.54,8/23/17
93.5,NY,0.5,0.5,11/27/18