countries_and_areas,total_pop_2018,under18_pop_2018,under5_pop_2018,pop_growth_rate_2018,pop_growth_rate_2030,births_2018,fertility_2018,life_expectancy_1970,life_expectancy_2000,life_expectancy_2018,dependency_ratio_total,dependency_ratio_child,dependency_ratio_oldage,percent_urban_2018,pop_urban_growth_rate_2018,pop_urban_growth_rate_2030,migration_rate
Afghanistan,37172,18745,5601,3.2,2.1,1207,4.5,37,56,64,84,79,5,25,4.0,3.4,-1.7
Albania,2883,635,173,-0.5,-0.3,34,1.6,67,74,78,46,26,20,60,1.6,0.9,-4.9
Algeria,42228,14416,4951,1.7,1.5,1023,3.0,50,71,77,58,47,10,73,2.8,2.1,-0.2
Andorra,77,  ,  ,0.9,0.1,  ,,,,,,,,88,0.6,0.1,
Angola,30810,16457,5553,3.5,3.1,1257,5.5,41,47,61,96,92,4,66,5.0,4.0,0.2
Anguilla,15,  ,  ,1.5,0.6,  ,,,,,,,,100,1.5,0.6,
Antigua and Barbuda,96,26,7,1.3,0.7,1,2.0,66,74,77,45,32,13,25,-0.2,0.8,0.0
Argentina,44361,13103,3748,1.0,0.8,755,2.3,66,74,77,56,39,17,92,1.2,1.0,0.1
Armenia,2952,710,211,-0.2,0.0,41,1.8,70,71,75,47,30,17,63,-0.3,0.4,-1.7
Australia,24898,5664,1627,1.5,1.0,318,1.8,71,80,83,53,29,24,86,1.6,1.2,6.4
Austria,8891,1539,434,0.5,0.3,88,1.5,70,78,81,50,21,28,58,0.4,0.8,7.4
Azerbaijan,9950,2708,872,1.1,0.6,167,2.1,63,67,73,42,33,9,56,1.6,1.4,0.1
Bahamas,386,106,26,1.4,0.8,5,1.8,66,72,74,42,32,10,83,1.5,1.0,2.6
Bahrain,1569,353,108,4.8,2.1,22,2.0,63,74,77,28,25,3,89,4.8,2.2,31.1
Bangladesh,161377,54163,14517,1.3,0.9,2935,2.0,47,65,72,49,41,8,37,3.7,2.7,-2.3
Barbados,287,61,15,0.3,0.1,3,1.6,69,77,79,50,26,24,31,-0.2,0.5,-0.3
Belarus,9453,1855,566,-0.2,-0.2,111,1.7,71,67,75,46,25,22,79,0.4,0.3,0.9
Belgium,11482,2336,637,0.6,0.3,125,1.7,71,78,81,56,27,29,98,0.7,0.3,4.2
Belize,383,140,39,2.4,1.7,8,2.3,66,69,74,54,47,7,46,2.5,2.2,3.2
Benin,11485,5631,1842,2.9,2.6,417,4.8,42,55,61,84,78,6,47,4.0,3.7,-0.2
Bhutan,754,237,63,1.4,0.9,13,2.0,40,61,71,47,38,9,41,4.0,2.4,0.4
Bolivia (Plurinational State of),11353,4209,1192,1.7,1.3,247,2.7,46,62,71,62,50,12,69,2.3,1.8,-0.8
Bosnia and Herzegovina,3324,593,142,-0.7,-0.5,27,1.3,66,74,77,45,21,24,48,0.0,0.4,-6.4
Botswana,2254,901,272,1.8,1.7,56,2.9,54,51,69,62,55,7,69,3.2,2.6,1.3
Brazil,209469,54592,14654,1.0,0.6,2915,1.7,59,70,76,43,31,13,87,1.4,0.8,0.1
British Virgin Islands,30,  ,  ,2.1,0.5,  ,,,,,,,,48,2.9,1.4,
Brunei Darussalam,429,119,34,1.4,0.8,6,1.8,63,73,76,39,32,7,78,1.9,1.1,0.0
Bulgaria,7052,1212,313,-0.7,-0.8,63,1.6,71,72,75,55,23,33,75,-0.2,-0.4,-0.7
Burkina Faso,19751,10220,3345,3.0,2.7,751,5.2,39,50,61,90,85,5,29,5.7,4.7,-1.3
Burundi,11175,5789,1984,3.1,2.9,437,5.4,44,49,61,91,87,4,13,5.7,5.4,0.2
Cabo Verde,544,186,53,1.3,1.0,11,2.3,53,69,73,50,43,7,66,2.5,1.6,-2.5
Cambodia,16250,5944,1774,1.6,1.2,365,2.5,42,58,70,56,49,7,23,2.9,3.0,-1.9
Cameroon,25216,12415,4003,2.7,2.4,893,4.6,47,51,59,83,78,5,56,3.9,3.4,-0.2
Canada,37075,7060,1954,1.1,0.8,386,1.5,73,79,82,49,24,26,81,1.2,1.0,6.6
Central African Republic,4666,2418,727,1.4,2.0,166,4.7,42,44,53,89,84,5,41,1.9,3.2,-8.6
Chad,15478,8375,2815,3.4,2.8,654,5.7,41,48,54,98,94,5,23,3.8,4.2,0.1
Chile,18729,4450,1203,1.1,0.3,231,1.6,62,76,80,46,29,17,88,1.2,0.4,6.0
China,1427648,304793,85912,0.6,0.2,16824,1.7,59,71,77,40,25,15,59,3.3,1.7,-0.2
Colombia,49661,14032,3730,1.3,0.6,736,1.8,62,73,77,46,34,12,81,1.7,1.0,4.2
Comoros,832,382,122,2.4,2.0,27,4.2,46,59,64,74,69,5,29,2.6,3.0,-2.4
Congo,5244,2522,805,2.9,2.4,173,4.4,51,52,64,80,75,5,67,3.6,3.1,-0.8
Cook Islands,18,  ,  ,-0.1,0.0,  ,,,,,,,,75,0.7,0.3,
Costa Rica,4999,1287,354,1.3,0.7,70,1.8,66,77,80,45,31,14,79,2.9,1.4,0.8
Cote d'Ivoire,25069,12228,3973,2.3,2.5,898,4.6,44,50,57,81,76,5,51,3.2,3.4,-0.3
Croatia,4156,723,189,-0.4,-0.6,37,1.4,68,75,78,54,22,31,57,0.0,0.1,-1.9
Cuba,11338,2233,608,0.1,-0.1,115,1.6,70,77,79,46,24,22,77,0.2,0.0,-1.3
Cyprus,1189,243,65,1.3,0.6,12,1.3,73,78,81,44,24,20,67,1.1,0.7,4.2
Czechia,10666,1943,545,0.2,0.1,110,1.6,70,75,79,54,24,30,74,0.2,0.3,2.1
Democratic People's Republic of Korea,25550,6309,1744,0.6,0.4,355,1.9,60,65,72,42,29,13,62,0.8,0.8,-0.2
Democratic Republic of the Congo,84068,44282,15185,3.2,3.0,3468,5.9,44,50,60,97,91,6,44,4.5,4.2,0.3
Denmark,5752,1149,293,0.4,0.4,61,1.8,73,77,81,57,26,31,88,0.6,0.5,2.6
Djibouti,959,338,101,1.6,1.3,21,2.7,49,57,67,52,45,7,78,1.7,1.5,0.9
Dominica,72,  ,  ,0.2,0.2,  ,,,,,,,,70,0.6,0.6,
Dominican Republic,10627,3552,1009,1.3,0.9,207,2.3,58,69,74,54,43,11,81,2.8,1.5,-2.8
Ecuador,17084,5724,1653,1.7,1.2,336,2.4,58,73,77,54,43,11,64,2.0,1.6,2.2
Egypt,98424,38430,12972,2.0,1.7,2591,3.3,52,69,72,64,55,9,43,2.0,2.1,-0.4
El Salvador,6421,2107,578,0.5,0.5,117,2.0,55,69,73,55,42,13,72,1.6,1.2,-6.3
Equatorial Guinea,1309,556,191,4.3,3.0,44,4.5,40,53,58,65,61,4,72,6.4,3.6,12.4
Eritrea,3453,1659,483,2.3,1.7,105,4.1,43,55,66,86,78,8,40,4.6,3.2,-11.6
Estonia,1323,253,68,-0.3,-0.3,14,1.6,70,70,79,56,26,31,69,-0.4,0.0,3.0
Eswatini,1136,510,143,0.7,1.1,30,3.0,48,47,59,73,66,7,24,0.9,2.0,-7.4
Ethiopia,109224,52244,16339,2.8,2.4,3537,4.2,43,52,66,79,73,6,21,4.7,4.5,0.3
Fiji,883,305,91,0.5,0.7,19,2.8,62,66,67,54,45,8,56,1.4,1.6,-7.0
Finland,5523,1068,279,0.3,0.1,51,1.5,70,78,82,61,26,35,85,0.6,0.2,2.5
France,64991,14005,3734,0.5,0.2,729,1.9,72,79,83,61,29,32,80,0.9,0.5,0.6
Gabon,2119,898,311,3.0,2.2,67,4.0,47,58,66,68,62,6,89,3.7,2.5,1.6
Gambia,2280,1159,393,3.0,2.7,88,5.2,38,56,62,88,83,5,61,4.4,3.7,-1.4
Georgia,4003,922,279,-0.5,-0.3,54,2.1,67,70,74,53,30,23,59,0.1,0.4,-2.5
Germany,83124,13774,3869,0.1,0.0,779,1.6,71,78,81,54,21,33,77,0.3,0.2,6.6
Ghana,29767,13045,4104,2.4,2.0,876,3.9,49,57,64,69,63,5,56,3.8,3.0,-0.3
Greece,10522,1796,427,-0.3,-0.5,81,1.3,71,79,82,56,22,34,79,0.2,-0.1,-1.5
Grenada,111,31,9,0.4,0.3,2,2.1,66,73,72,50,35,14,36,0.5,0.9,-1.8
Guatemala,17248,7106,2049,2.2,1.7,424,2.9,53,68,74,65,57,8,51,2.8,2.6,-0.5
Guinea,12414,6331,2020,2.3,2.6,453,4.7,37,51,61,88,82,5,36,3.2,3.8,-0.3
Guinea-Bissau,1874,915,298,2.5,2.3,66,4.5,41,50,58,82,77,5,43,3.5,3.2,-0.8
Guyana,779,266,76,0.2,0.4,16,2.5,62,65,70,53,43,10,27,-0.2,1.0,-7.7
Haiti,11123,4385,1269,1.5,1.1,271,2.9,46,57,64,62,54,8,55,4.0,2.5,-3.2
Holy See,1,  ,  ,0.1,-0.1,  ,,,,,,,,100,0.1,-0.1,
Honduras,9588,3670,1003,2.1,1.5,207,2.5,53,71,75,57,50,7,57,3.4,2.5,-0.7
Hungary,9708,1690,448,-0.3,-0.3,92,1.5,69,72,77,51,22,29,71,0.3,0.1,0.6
Iceland,337,79,21,1.0,0.6,4,1.8,74,80,83,53,30,23,94,1.1,0.6,1.1
India,1352642,441501,116379,1.4,0.9,24164,2.2,48,63,69,50,41,9,34,2.5,2.3,-0.4
Indonesia,267671,85121,24350,1.3,0.9,4834,2.3,53,66,72,48,39,9,55,2.8,2.0,-0.4
Iran (Islamic Republic of),81800,23295,7442,1.2,1.0,1536,2.1,51,70,76,44,35,9,75,2.1,1.6,-0.7
Iraq,38434,17211,5404,2.7,2.2,1115,3.7,58,69,70,72,66,6,70,2.9,2.6,0.2
Ireland,4819,1212,329,1.3,0.7,62,1.8,71,77,82,54,33,21,63,1.7,1.2,4.9
Israel,8382,2733,846,1.9,1.5,170,3.0,72,79,83,66,46,20,92,2.0,1.6,1.2
Italy,60627,9797,2442,0.4,-0.2,457,1.3,72,80,83,56,21,36,70,0.6,0.2,2.5
Jamaica,2935,845,236,0.6,0.3,47,2.0,68,74,74,48,35,13,56,1.0,1.0,-3.9
Japan,127202,19591,5051,0.0,-0.4,947,1.4,72,81,84,67,21,46,92,0.8,-0.3,0.6
Jordan,9965,4031,1116,3.7,0.6,216,2.8,60,72,74,62,55,6,91,4.5,0.8,1.1
Kazakhstan,18320,5847,1964,1.1,1.0,384,2.7,63,63,73,56,44,12,57,1.3,1.4,-1.0
Kenya,51393,23965,6993,2.6,2.1,1479,3.5,53,51,66,73,69,4,27,4.3,3.9,-0.2
Kiribati,116,47,15,1.8,1.5,3,3.6,52,63,68,65,59,7,54,3.0,2.7,-6.9
Kuwait,4137,1022,302,3.9,1.1,57,2.1,66,73,75,32,28,3,100,4.0,1.1,9.8
Kyrgyzstan,6304,2335,788,1.4,1.4,155,3.0,60,66,71,58,51,7,36,1.5,2.4,-0.6
Lao People's Democratic Republic,7061,2726,788,1.6,1.3,166,2.7,46,59,68,58,51,6,35,4.2,3.0,-2.1
Latvia,1928,360,107,-1.2,-1.0,21,1.7,70,70,75,56,25,31,68,-1.2,-0.7,-7.6
Lebanon,6859,2149,617,3.2,-0.8,117,2.1,66,75,79,49,39,10,89,3.4,-0.7,-4.5
Lesotho,2108,822,252,0.2,0.8,56,3.1,51,48,54,60,52,8,28,2.2,2.4,-4.8
Liberia,4819,2305,721,2.9,2.3,160,4.3,39,52,64,80,74,6,51,3.7,3.3,-1.0
Libya,6679,2223,642,1.2,1.1,126,2.2,56,71,73,49,42,7,80,1.5,1.4,-0.3
Liechtenstein,38,  ,  ,0.7,0.3,  ,,,,,,,,14,0.4,1.0,
Lithuania,2801,495,149,-1.2,-1.0,29,1.7,71,71,76,53,23,30,68,-1.2,-0.6,-11.6
Luxembourg,604,116,33,1.8,1.1,6,1.4,70,78,82,43,23,20,91,2.2,1.3,16.3
Madagascar,26262,12455,3934,2.8,2.5,860,4.1,45,58,67,77,72,5,37,4.6,4.2,-0.1
Malawi,18143,9228,2835,2.7,2.6,621,4.2,40,45,64,87,82,5,17,3.5,4.4,-0.9
Malaysia,31528,9191,2606,1.7,1.1,528,2.0,65,73,76,44,35,10,76,2.8,1.7,1.6
Maldives,516,120,37,3.4,0.1,7,1.9,44,70,79,31,26,5,40,5.4,1.1,22.8
Mali,19078,10368,3460,3.1,2.9,795,5.9,32,48,59,100,95,5,42,5.3,4.5,-2.1
Malta,439,75,22,0.6,0.2,4,1.5,71,79,82,53,22,31,95,0.7,0.2,2.1
Marshall Islands,58,  ,  ,0.8,0.9,  ,,,,,,,,77,1.4,1.3,
Mauritania,4403,2040,669,2.9,2.5,148,4.6,50,61,65,76,71,6,54,4.8,3.8,1.2
Mauritius,1267,283,66,0.4,0.0,13,1.4,63,71,75,41,25,16,41,0.1,0.3,0.0
Mexico,126191,40251,11139,1.4,0.9,2220,2.1,61,74,75,51,40,11,80,1.7,1.3,-0.5
Micronesia (Federated States of),113,43,12,0.3,1.0,3,3.1,59,65,68,56,49,6,23,0.4,1.8,-5.4
Monaco,39,  ,  ,1.0,0.6,  ,,,,,,,,100,1.0,0.6,
Mongolia,3170,1092,380,1.6,1.3,76,2.9,55,63,70,53,46,6,68,2.6,1.6,-0.3
Montenegro,628,138,37,0.1,0.0,7,1.7,70,73,77,50,27,22,67,0.9,0.4,-0.8
Montserrat,5,  ,  ,0.1,-0.4,  ,,,,,,,,9,8.2,0.3,
Morocco,36029,11581,3433,1.2,1.1,682,2.4,53,69,76,52,41,11,62,2.1,1.8,-1.4
Mozambique,29496,15238,4944,2.8,2.8,1110,4.9,41,49,60,91,85,6,36,4.0,4.2,-0.2
Myanmar,53708,17238,4518,0.8,0.7,943,2.2,49,60,67,47,39,9,31,1.5,1.8,-3.1
Namibia,2448,1049,332,1.7,1.7,70,3.4,53,52,63,68,62,6,50,4.1,3.3,-2.0
Nauru,11,  ,  ,0.2,0.2,  ,,,,,,,,100,0.2,0.2,
Nepal,28096,10483,2719,0.9,1.4,563,1.9,41,62,70,57,48,9,20,3.0,3.5,1.5
Netherlands,17060,3362,873,0.4,0.2,172,1.7,74,78,82,55,25,30,91,1.4,0.5,0.9
New Zealand,4743,1112,301,1.1,0.7,60,1.9,71,78,82,55,30,24,87,1.2,0.8,3.2
Nicaragua,6466,2316,664,1.4,1.1,133,2.4,54,70,74,55,47,8,59,1.7,1.6,-3.3
Niger,22443,12732,4503,3.8,3.7,1037,6.9,36,50,62,111,105,5,16,3.9,4.7,0.2
Nigeria,195875,98709,32917,2.6,2.5,7433,5.4,41,46,54,87,82,5,50,4.7,3.8,-0.3
Niue,2,  ,  ,-0.9,0.3,  ,,,,,,,,45,0.8,1.6,
North Macedonia,2083,418,116,0.1,-0.1,23,1.5,66,73,76,43,24,20,58,0.1,0.5,-0.5
Norway,5338,1127,301,0.9,0.8,59,1.7,74,79,82,53,27,26,82,1.4,1.2,5.3
Oman,4829,1205,440,4.2,1.7,91,2.9,50,72,78,33,29,3,85,5.1,2.4,18.6
Pakistan,212228,87938,27291,2.2,1.8,5999,3.5,53,63,67,66,58,7,37,2.8,2.7,-1.1
Palau,18,  ,  ,-0.4,0.3,  ,,,,,,,,80,0.4,0.8,
Panama,4177,1342,389,1.8,1.4,79,2.5,66,75,78,54,42,13,68,2.3,1.9,2.7
Papua New Guinea,8606,3629,1084,2.1,1.8,233,3.6,46,59,64,65,59,6,13,2.1,3.0,-0.1
Paraguay,6956,2446,693,1.5,1.1,143,2.4,65,71,74,56,46,10,62,2.1,1.7,-2.4
Peru,31989,9782,2757,1.1,1.0,573,2.3,54,71,77,51,39,12,78,1.4,1.3,3.1
Philippines,106651,39276,11035,1.7,1.2,2191,2.6,63,69,71,56,48,8,47,1.8,1.9,-0.6
Poland,37922,6745,1843,-0.1,-0.2,371,1.4,70,74,79,48,22,26,60,-0.2,0.0,-0.8
Portugal,10256,1699,413,0.0,-0.3,80,1.3,67,77,82,55,21,34,65,1.0,0.5,-0.6
Qatar,2782,440,134,8.6,1.5,26,1.9,68,77,80,18,16,2,99,8.8,1.5,14.7
Republic of Korea,51172,8182,2060,0.4,0.0,377,1.1,61,76,83,38,18,20,81,0.6,0.1,0.2
Republic of Moldova,4052,765,210,-0.2,-0.3,41,1.3,65,67,72,38,22,16,43,-0.5,0.2,-0.3
Romania,19506,3626,930,-0.7,-0.5,189,1.6,68,70,76,51,23,28,54,-0.6,-0.1,-3.8
Russian Federation,145734,30223,9497,0.0,-0.1,1842,1.8,69,65,72,48,27,22,74,0.1,0.2,1.3
Rwanda,12302,5710,1801,2.4,2.3,391,4.0,45,49,69,75,70,5,17,3.2,3.4,-0.7
Saint Kitts and Nevis,52,  ,  ,1.0,0.5,  ,,,,,,,,31,0.6,1.0,
Saint Lucia,182,42,11,0.8,0.3,2,1.4,64,73,76,40,26,14,19,-1.4,1.0,0.0
Saint Vincent and the Grenadines,110,30,8,0.1,0.2,2,1.9,64,71,72,47,33,14,52,0.9,1.0,-1.8
Samoa,196,87,28,0.7,1.0,5,3.9,60,69,73,76,67,8,18,-0.4,0.5,-14.3
San Marino,34,  ,  ,1.2,0.2,  ,,,,,,,,97,1.4,0.3,
Sao Tome and Principe,211,104,31,2.2,2.0,7,4.3,55,61,70,83,78,5,73,3.9,2.8,-8.0
Saudi Arabia,33703,9799,3007,2.7,1.3,598,2.3,53,73,75,40,35,5,84,3.0,1.5,4.1
Senegal,15854,7853,2557,2.7,2.6,548,4.6,39,58,68,86,80,6,47,3.5,3.6,-1.3
Serbia,8803,1691,422,-0.4,-0.5,83,1.5,68,72,76,52,24,28,56,-0.1,-0.1,0.5
Seychelles,97,27,8,1.0,0.5,2,2.4,66,71,73,45,34,11,57,1.7,1.2,-2.1
Sierra Leone,7650,3655,1134,2.8,1.9,256,4.3,36,39,54,79,73,5,42,3.8,3.0,-0.6
Singapore,5758,872,236,2.0,0.7,50,1.2,68,78,83,31,16,15,100,2.0,0.7,4.7
Slovakia,5453,1000,282,0.1,-0.1,57,1.5,70,73,77,45,22,23,54,-0.2,0.2,0.3
Slovenia,2078,366,104,0.2,-0.1,20,1.6,69,76,81,53,23,30,55,0.6,0.5,1.0
Solomon Islands,653,304,101,2.5,2.3,21,4.4,56,67,73,78,72,6,24,4.8,4.0,-2.5
Somalia,15008,8056,2673,2.9,2.9,629,6.1,41,51,57,98,92,6,45,4.6,4.1,-2.7
South Africa,57793,19702,5796,1.4,1.1,1184,2.4,53,56,64,52,44,8,66,2.2,1.8,2.5
South Sudan,10976,5316,1702,3.2,1.9,387,4.7,36,49,58,83,76,6,20,4.1,3.7,-15.9
Spain,46693,8162,2025,0.7,-0.1,394,1.3,72,79,83,52,22,29,80,1.0,0.2,0.9
Sri Lanka,21229,6132,1690,0.7,0.3,336,2.2,64,71,77,53,37,16,18,0.7,1.4,-4.6
State of Palestine,4863,2202,690,2.3,2.2,143,3.6,56,71,74,73,67,5,76,2.6,2.6,-2.2
Sudan,41802,19758,6158,2.4,2.3,1347,4.4,52,58,65,79,72,6,35,2.7,3.5,-1.2
Suriname,576,187,53,1.1,0.8,11,2.4,63,68,72,52,41,10,66,1.1,1.0,-1.7
Sweden,9972,2067,591,0.6,0.5,119,1.9,74,80,83,60,28,32,87,0.9,0.8,4.0
Switzerland,8526,1523,444,1.0,0.6,88,1.5,73,80,84,50,22,28,74,1.0,0.8,6.1
Syrian Arab Republic,16945,6273,1797,0.2,3.8,426,2.8,59,73,72,56,49,7,54,0.4,4.9,-24.1
Tajikistan,9101,3829,1329,2.1,2.0,280,3.6,54,62,71,66,61,5,27,2.2,3.0,-2.2
Thailand,69428,14537,3692,0.5,0.1,718,1.5,59,71,77,41,24,17,50,3.1,1.4,0.3
Timor-Leste,1268,571,169,2.0,1.8,37,4.0,40,59,69,73,65,7,31,3.3,3.0,-4.3
Togo,7889,3781,1189,2.6,2.3,262,4.3,47,53,61,79,74,5,42,3.9,3.6,-0.3
Tokelau,1,  ,  ,-0.9,0.8,  ,,,,,,,,0,,,
Tonga,103,43,12,0.3,0.9,3,3.6,64,70,71,71,60,10,23,0.3,1.2,-7.7
Trinidad and Tobago,1390,337,92,0.5,0.1,18,1.7,65,69,73,45,30,16,53,0.2,0.4,-0.6
Tunisia,11565,3266,1036,1.0,0.8,203,2.2,51,73,77,48,36,12,69,1.4,1.3,-0.3
Turkey,82340,24377,6749,1.5,0.7,1313,2.1,52,70,77,50,37,13,75,2.3,1.2,3.5
Turkmenistan,5851,2092,696,1.4,1.2,139,2.8,58,64,68,54,48,7,52,2.1,2.2,-0.9
Turks and Caicos Islands,38,  ,  ,3.5,1.2,  ,,,,,,,,93,4.0,1.4,
Tuvalu,12,  ,  ,1.1,1.1,  ,,,,,,,,62,2.8,2.1,
Uganda,42729,23085,7538,3.3,2.8,1627,5.0,49,46,63,96,92,4,24,5.9,5.0,4.0
Ukraine,44246,8152,2250,-0.5,-0.7,421,1.4,71,67,72,48,23,24,69,-0.4,-0.4,0.2
United Arab Emirates,9631,1637,503,6.2,0.8,100,1.4,61,74,78,19,17,1,87,6.7,1.1,4.2
United Kingdom,67142,14042,3977,0.7,0.4,775,1.8,72,78,81,56,28,29,83,1.1,0.7,3.9
United Republic of Tanzania,56313,28558,9316,2.9,2.8,2071,4.9,47,51,65,88,83,5,34,5.2,4.7,-0.7
United States,327096,73857,19512,0.8,0.6,3912,1.8,71,77,79,53,29,24,82,1.1,0.8,2.9
Uruguay,3449,860,239,0.2,0.3,48,2.0,69,75,78,55,32,23,95,0.4,0.4,-0.9
Uzbekistan,32476,10824,3407,1.5,1.2,696,2.4,62,67,72,49,43,7,50,2.0,1.4,-0.3
Vanuatu,293,131,40,2.5,2.2,9,3.8,54,67,70,74,68,6,25,3.4,2.9,0.4
Venezuela (Bolivarian Republic of),28887,9527,2545,1.0,1.3,524,2.3,65,72,72,54,43,11,88,1.0,1.3,-22.3
Viet Nam,95546,26017,7831,1.0,0.7,1598,2.0,60,73,75,44,33,10,36,3.1,2.5,-0.8
Yemen,28499,13183,4084,2.7,2.0,868,3.8,37,61,66,74,69,5,37,4.6,3.6,-1.1
Zambia,17352,9033,2869,2.8,2.8,629,4.6,50,44,64,89,85,4,44,4.1,4.1,-0.5
Zimbabwe,14439,7082,2196,1.1,1.6,443,3.6,57,45,61,83,78,5,32,0.8,2.2,-8.2
